tract_geoid,tract_name,county,name,address,lat,lon,primary_category,type,subtype,snap_eligible
42039110100,Census Tract 1101,Crawford,Bloomfield Dept. 1 Fire and EMS Station,,41.7981817,-79.8414668,Civic & Social,Emergency Services,Fire Station,No
42039110100,Census Tract 1101,Crawford,Centerville Baptist Church,,41.7386801,-79.7634642,Civic & Social,Faith Community,Place of Worship,No
42039110100,Census Tract 1101,Crawford,Centerville Dept. 6 Fire and EMS,,41.7355336,-79.7642623,Civic & Social,Emergency Services,Fire Station,No
42039110100,Census Tract 1101,Crawford,Centerville Free Methodist Church,,41.7389762,-79.763888,Civic & Social,Faith Community,Place of Worship,No
42039110100,Census Tract 1101,Crawford,Centerville Post Office,,41.7361309,-79.7635187,Civic & Social,Government,Post Office,No
42039110100,Census Tract 1101,Crawford,Centerville United Methodist Church,,41.7373309,-79.7638738,Civic & Social,Faith Community,Place of Worship,No
42039110100,Census Tract 1101,Crawford,Fink Ridge Church (closed),,41.7062627,-79.6911417,Civic & Social,Faith Community,Place of Worship,No
42039110100,Census Tract 1101,Crawford,Immaculate Conception Church,,41.7269747,-79.7263914,Civic & Social,Faith Community,Place of Worship,No
42039110100,Census Tract 1101,Crawford,Lady of Fatima Chapel,,41.8125328,-79.8281329,Civic & Social,Faith Community,Place of Worship,No
42039110100,Census Tract 1101,Crawford,Lincolnville Baptist Church,,41.7916868,-79.8368492,Civic & Social,Faith Community,Place of Worship,No
42039110100,Census Tract 1101,Crawford,Mount Pleasant Church,,41.8344755,-79.7926325,Civic & Social,Faith Community,Place of Worship,No
42039110100,Census Tract 1101,Crawford,Oil Creek Chapel,,41.7625583,-79.7375522,Civic & Social,Faith Community,Place of Worship,No
42039110100,Census Tract 1101,Crawford,Old Grange,,41.7030207,-79.7462597,Civic & Social,Community Center,Community/Rec Center,No
42039110100,Census Tract 1101,Crawford,Spartansburg Baptist Church,,41.8237156,-79.6908935,Civic & Social,Faith Community,Place of Worship,No
42039110100,Census Tract 1101,Crawford,Spartansburg Christian Missionary,,41.8244193,-79.68006,Civic & Social,Faith Community,Place of Worship,No
42039110100,Census Tract 1101,Crawford,Spartansburg Community Building,,41.8239707,-79.6893175,Civic & Social,Community Center,Community/Rec Center,No
42039110100,Census Tract 1101,Crawford,Spartansburg Dept. 22 Fire and EMS,,41.8239021,-79.6869966,Civic & Social,Emergency Services,Fire Station,No
42039110100,Census Tract 1101,Crawford,Spartansburg Post Office,,41.8240007,-79.6887089,Civic & Social,Government,Post Office,No
42039110100,Census Tract 1101,Crawford,Spartansburg United Methodist Church,,41.8238956,-79.6846156,Civic & Social,Faith Community,Place of Worship,No
42039110100,Census Tract 1101,Crawford,Valley View Mennonite Church,,41.8206841,-79.6993508,Civic & Social,Faith Community,Place of Worship,No
42039110100,Census Tract 1101,Crawford,Wilkins Church,,41.82839,-79.8864418,Civic & Social,Faith Community,Place of Worship,No
42039110100,Census Tract 1101,Crawford,Coil School,,41.7547806,-79.7394966,Education & Civic,School,K-12 School,No
42039110100,Census Tract 1101,Crawford,Daytown School,,41.7697805,-79.708663,Education & Civic,School,K-12 School,No
42039110100,Census Tract 1101,Crawford,Buell'S Corners Store,"44467 Buells Corners Rd, Spartansburg, PA 16434",41.75213,-79.66969,Food & Grocery,Convenience Store,Convenience Store,Yes
42039110100,Census Tract 1101,Crawford,Dollar General 18479,"24467 State Highway 8, Union City, PA 16438",41.81935,-79.80786,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110100,Census Tract 1101,Crawford,Dollar General 30968,"17940 Erie St, Centerville, PA 16404",41.72662,-79.76054,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110100,Census Tract 1101,Crawford,Dollar General 31245,"43194 State Highway 77, Spartansburg, PA 16434",41.80607,-79.70057,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110100,Census Tract 1101,Crawford,Family Dollar 10772,"368 Main St, Spartansburg, PA 16434",41.82417,-79.68537,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110100,Census Tract 1101,Crawford,Lincan Food Mart,"35733 Danner Dr, Union City, PA 16438",41.80323,-79.8402,Food & Grocery,Convenience Store,Convenience Store,Yes
42039110100,Census Tract 1101,Crawford,Spartansburg Pharmacy,,41.8243929,-79.687281,Health,Pharmacy,Retail Pharmacy,No
42039110100,Census Tract 1101,Crawford,"Spartansburg Regional Medical Center, John Balmer, DO","132, Mechanic Street",41.823397,-79.6880306,Health,Clinic,Medical Office,No
42039110201,Census Tract 1102.01,Crawford,Gospel Hill Church,,41.7772781,-80.1670026,Civic & Social,Faith Community,Place of Worship,No
42039110201,Census Tract 1102.01,Crawford,Saints Peter and Paul Orthodox Church,"25636, North Mosiertown Road, Crossingville, PA, 16412",41.8287762,-80.2368106,Civic & Social,Faith Community,Place of Worship,No
42039110201,Census Tract 1102.01,Crawford,Birchard School,,41.7758898,-80.0706114,Education & Civic,School,K-12 School,No
42039110201,Census Tract 1102.01,Crawford,Clausen School,,41.803389,-80.2031146,Education & Civic,School,K-12 School,No
42039110201,Census Tract 1102.01,Crawford,Cussewago Township School,,41.8025556,-80.2214484,Education & Civic,School,K-12 School,No
42039110201,Census Tract 1102.01,Crawford,Himebaugh School,,41.7731117,-80.1358908,Education & Civic,School,K-12 School,No
42039110201,Census Tract 1102.01,Crawford,Homan School,,41.7903339,-80.1303351,Education & Civic,School,K-12 School,No
42039110201,Census Tract 1102.01,Crawford,Hotchkiss School,,41.7775559,-80.1667248,Education & Civic,School,K-12 School,No
42039110201,Census Tract 1102.01,Crawford,Sandbank School,,41.7800555,-80.246449,Education & Civic,School,K-12 School,No
42039110201,Census Tract 1102.01,Crawford,Winding Creek Farm,"24999 Highway 99, Cambridge Springs, PA 16403",41.82931,-80.08051,Food & Grocery,Medium Grocery Store,Medium Grocery Store,Yes
42039110202,Census Tract 1102.02,Crawford,Cambridge Springs Police Department,"161, Carringer Street, Cambridge Springs, PA, 16403",41.8047208,-80.0608154,Civic & Social,Emergency Services,Police Station,No
42039110202,Census Tract 1102.02,Crawford,Christian and Missionary Alliance Church,,41.8027194,-80.0545286,Civic & Social,Faith Community,Place of Worship,No
42039110202,Census Tract 1102.02,Crawford,First Baptist Church,,41.8014046,-80.0592563,Civic & Social,Faith Community,Place of Worship,No
42039110202,Census Tract 1102.02,Crawford,First Church of God,,41.800741,-80.0664849,Civic & Social,Faith Community,Place of Worship,No
42039110202,Census Tract 1102.02,Crawford,First United Methodist Church,,41.8022211,-80.0593181,Civic & Social,Faith Community,Place of Worship,No
42039110202,Census Tract 1102.02,Crawford,Jehovah's Witnesses,,41.8089697,-80.061324,Civic & Social,Faith Community,Place of Worship,No
42039110202,Census Tract 1102.02,Crawford,Jervis Church,,41.766196,-79.963504,Civic & Social,Faith Community,Place of Worship,No
42039110202,Census Tract 1102.02,Crawford,Mackey Hill Church,,41.8386675,-79.9475532,Civic & Social,Faith Community,Place of Worship,No
42039110202,Census Tract 1102.02,Crawford,Presbyterian Church,,41.8019529,-80.0596777,Civic & Social,Faith Community,Place of Worship,No
