geoid,county,year,NAME,total_households,hh_bottom,hh_middle,hh_top,share_bottom,share_middle,share_top,under_10k,10k_15k,15k_20k,20k_25k,25k_30k,30k_35k,35k_40k,40k_45k,45k_50k,50k_60k,60k_75k,75k_100k,100k_125k,125k_150k,150k_200k,200k_plus,share_under_10k,share_10k_15k,share_15k_20k,share_20k_25k,share_25k_30k,share_30k_35k,share_35k_40k,share_40k_45k,share_45k_50k,share_50k_60k,share_60k_75k,share_75k_100k,share_100k_125k,share_125k_150k,share_150k_200k,share_200k_plus
42039110100,Crawford,2019,"Census Tract 1101, Crawford County, Pennsylvania",2087,793,801,493,38.0,38.38,23.62,131,109,104,139,174,136,135,131,91,204,240,253,118,39,42,41,6.28,5.22,4.98,6.66,8.34,6.52,6.47,6.28,4.36,9.77,11.5,12.12,5.65,1.87,2.01,1.96
42039110100,Crawford,2020,"Census Tract 1101, Crawford County, Pennsylvania",2064,812,775,477,39.34,37.55,23.11,157,97,130,146,145,137,81,118,90,206,280,220,134,42,41,40,7.61,4.7,6.3,7.07,7.03,6.64,3.92,5.72,4.36,9.98,13.57,10.66,6.49,2.03,1.99,1.94
42039110100,Crawford,2021,"Census Tract 1101, Crawford County, Pennsylvania",1972,691,774,507,35.04,39.25,25.71,144,80,114,128,140,85,109,90,109,198,268,217,122,80,49,39,7.3,4.06,5.78,6.49,7.1,4.31,5.53,4.56,5.53,10.04,13.59,11.0,6.19,4.06,2.48,1.98
42039110100,Crawford,2022,Census Tract 1101; Crawford County; Pennsylvania,2011,676,705,630,33.62,35.06,31.33,131,80,95,132,115,123,102,80,88,148,287,283,141,99,70,37,6.51,3.98,4.72,6.56,5.72,6.12,5.07,3.98,4.38,7.36,14.27,14.07,7.01,4.92,3.48,1.84
42039110100,Crawford,2023,Census Tract 1101; Crawford County; Pennsylvania,2068,648,716,704,31.33,34.62,34.04,87,115,82,87,142,135,109,87,70,159,291,312,126,136,83,47,4.21,5.56,3.97,4.21,6.87,6.53,5.27,4.21,3.38,7.69,14.07,15.09,6.09,6.58,4.01,2.27
42039110201,Crawford,2019,"Census Tract 1102.01, Crawford County, Pennsylvania",1556,367,567,622,23.59,36.44,39.97,39,43,72,53,74,86,97,68,66,155,181,272,164,69,56,61,2.51,2.76,4.63,3.41,4.76,5.53,6.23,4.37,4.24,9.96,11.63,17.48,10.54,4.43,3.6,3.92
42039110201,Crawford,2020,"Census Tract 1102.01, Crawford County, Pennsylvania",1542,358,563,621,23.22,36.51,40.27,21,53,59,70,69,86,95,76,48,160,184,240,152,77,98,54,1.36,3.44,3.83,4.54,4.47,5.58,6.16,4.93,3.11,10.38,11.93,15.56,9.86,4.99,6.36,3.5
42039110201,Crawford,2021,"Census Tract 1102.01, Crawford County, Pennsylvania",1440,313,503,624,21.74,34.93,43.33,19,39,40,80,61,74,63,83,50,120,187,227,155,90,105,47,1.32,2.71,2.78,5.56,4.24,5.14,4.38,5.76,3.47,8.33,12.99,15.76,10.76,6.25,7.29,3.26
42039110201,Crawford,2022,Census Tract 1102.01; Crawford County; Pennsylvania,1443,322,453,668,22.31,31.39,46.29,23,26,47,53,85,88,16,90,70,90,187,232,168,83,143,42,1.59,1.8,3.26,3.67,5.89,6.1,1.11,6.24,4.85,6.24,12.96,16.08,11.64,5.75,9.91,2.91
42039110201,Crawford,2023,Census Tract 1102.01; Crawford County; Pennsylvania,1456,324,408,724,22.25,28.02,49.73,33,34,45,50,84,78,35,55,73,84,161,239,176,104,160,45,2.27,2.34,3.09,3.43,5.77,5.36,2.4,3.78,5.01,5.77,11.06,16.41,12.09,7.14,10.99,3.09
42039110202,Crawford,2019,"Census Tract 1102.02, Crawford County, Pennsylvania",1521,497,543,481,32.68,35.7,31.62,107,97,59,106,61,67,115,87,51,154,136,202,161,35,54,29,7.03,6.38,3.88,6.97,4.01,4.4,7.56,5.72,3.35,10.12,8.94,13.28,10.59,2.3,3.55,1.91
42039110202,Crawford,2020,"Census Tract 1102.02, Crawford County, Pennsylvania",1560,500,581,479,32.05,37.24,30.71,94,120,74,67,84,61,113,71,51,154,192,157,176,50,48,48,6.03,7.69,4.74,4.29,5.38,3.91,7.24,4.55,3.27,9.87,12.31,10.06,11.28,3.21,3.08,3.08
42039110202,Crawford,2021,"Census Tract 1102.02, Crawford County, Pennsylvania",1345,457,404,484,33.98,30.04,35.99,81,118,78,58,70,52,51,58,34,49,212,161,141,73,60,49,6.02,8.77,5.8,4.31,5.2,3.87,3.79,4.31,2.53,3.64,15.76,11.97,10.48,5.43,4.46,3.64
42039110202,Crawford,2022,Census Tract 1102.02; Crawford County; Pennsylvania,1340,409,413,518,30.52,30.82,38.66,57,113,93,42,56,48,45,70,41,72,185,169,108,120,59,62,4.25,8.43,6.94,3.13,4.18,3.58,3.36,5.22,3.06,5.37,13.81,12.61,8.06,8.96,4.4,4.63
42039110202,Crawford,2023,Census Tract 1102.02; Crawford County; Pennsylvania,1369,397,397,575,29.0,29.0,42.0,60,88,109,23,68,49,50,59,58,59,171,203,120,120,69,63,4.38,6.43,7.96,1.68,4.97,3.58,3.65,4.31,4.24,4.31,12.49,14.83,8.77,8.77,5.04,4.6
42039110300,Crawford,2019,"Census Tract 1103, Crawford County, Pennsylvania",1685,521,687,477,30.92,40.77,28.31,81,89,138,72,89,52,92,124,83,183,205,254,111,43,52,17,4.81,5.28,8.19,4.27,5.28,3.09,5.46,7.36,4.93,10.86,12.17,15.07,6.59,2.55,3.09,1.01
42039110300,Crawford,2020,"Census Tract 1103, Crawford County, Pennsylvania",1742,549,736,457,31.52,42.25,26.23,83,99,124,113,85,45,89,129,78,238,202,240,117,36,48,16,4.76,5.68,7.12,6.49,4.88,2.58,5.11,7.41,4.48,13.66,11.6,13.78,6.72,2.07,2.76,0.92
42039110300,Crawford,2021,"Census Tract 1103, Crawford County, Pennsylvania",1684,482,686,516,28.62,40.74,30.64,60,72,136,121,41,52,66,121,84,210,205,253,130,41,62,30,3.56,4.28,8.08,7.19,2.43,3.09,3.92,7.19,4.99,12.47,12.17,15.02,7.72,2.43,3.68,1.78
42039110300,Crawford,2022,Census Tract 1103; Crawford County; Pennsylvania,1717,507,616,594,29.53,35.88,34.6,65,88,116,120,68,50,39,86,119,168,204,289,149,44,55,57,3.79,5.13,6.76,6.99,3.96,2.91,2.27,5.01,6.93,9.78,11.88,16.83,8.68,2.56,3.2,3.32
42039110300,Crawford,2023,Census Tract 1103; Crawford County; Pennsylvania,1741,532,590,619,30.56,33.89,35.55,82,90,117,111,92,40,41,45,127,171,206,256,174,61,50,78,4.71,5.17,6.72,6.38,5.28,2.3,2.35,2.58,7.29,9.82,11.83,14.7,9.99,3.5,2.87,4.48
42039110400,Crawford,2019,"Census Tract 1104, Crawford County, Pennsylvania",1224,528,363,333,43.14,29.66,27.21,87,95,75,108,77,86,74,25,45,84,135,153,65,37,43,35,7.11,7.76,6.13,8.82,6.29,7.03,6.05,2.04,3.68,6.86,11.03,12.5,5.31,3.02,3.51,2.86
42039110400,Crawford,2020,"Census Tract 1104, Crawford County, Pennsylvania",1186,487,370,329,41.06,31.2,27.74,67,83,55,91,74,117,48,23,56,96,147,161,53,27,41,47,5.65,7.0,4.64,7.67,6.24,9.87,4.05,1.94,4.72,8.09,12.39,13.58,4.47,2.28,3.46,3.96
