GEOID,county_fips,county_name,name,year,median_household_income,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate
42023,023,Cameron County,Cameron County,2020,40342,18.2,8.7,19.8,9.6
42031,031,Clarion County,Clarion County,2020,49695,16.1,13.6,21.1,7.6
42033,033,Clearfield County,Clearfield County,2020,50150,14.3,10.9,19.6,7.5
42039,039,Crawford County,Crawford County,2020,51919,12.5,12.7,15.4,9.2
42047,047,Elk County,Elk County,2020,54961,9.9,13.0,14.0,6.6
42049,049,Erie County,Erie County,2020,52863,15.5,18.4,24.9,10.6
42053,053,Forest County,Forest County,2020,41225,16.7,6.2,9.7,5.5
42065,065,Jefferson County,Jefferson County,2020,49604,13.9,10.8,18.2,7.3
42083,083,McKean County,McKean County,2020,49240,16.2,12.2,18.7,8.4
42121,121,Venango County,Venango County,2020,51405,13.5,13.1,15.9,7.7
42123,123,Warren County,Warren County,2020,52034,12.6,12.8,13.2,6.5
42023,023,Cameron County,Cameron County,2021,43615,16.1,8.6,17.3,10.3
42031,031,Clarion County,Clarion County,2021,53096,15.2,13.6,21.0,7.2
42033,033,Clearfield County,Clearfield County,2021,52826,14.8,12.1,20.5,7.4
42039,039,Crawford County,Crawford County,2021,55042,13.1,12.8,16.7,9.7
42047,047,Elk County,Elk County,2021,57551,9.3,13.0,13.3,6.9
42049,049,Erie County,Erie County,2021,55949,15.7,18.3,25.3,10.5
42053,053,Forest County,Forest County,2021,43958,16.7,8.6,6.2,4.8
42065,065,Jefferson County,Jefferson County,2021,52815,14.6,10.8,15.3,7.6
42083,083,McKean County,McKean County,2021,52350,14.8,12.6,18.1,7.9
42121,121,Venango County,Venango County,2021,55899,12.9,12.9,16.1,7.1
42123,123,Warren County,Warren County,2021,55796,11.5,12.5,13.1,6.2
42023,023,Cameron County,Cameron County,2022,46186,15.0,8.7,16.7,10.2
42031,031,Clarion County,Clarion County,2022,58690,13.7,14.3,21.3,6.6
42033,033,Clearfield County,Clearfield County,2022,56982,13.7,12.7,18.9,7.5
42039,039,Crawford County,Crawford County,2022,58734,12.7,12.8,16.0,9.7
42047,047,Elk County,Elk County,2022,61672,9.0,12.7,16.8,6.4
42049,049,Erie County,Erie County,2022,59396,15.4,18.4,25.5,10.2
42053,053,Forest County,Forest County,2022,46188,19.2,8.6,12.7,6.1
42065,065,Jefferson County,Jefferson County,2022,56607,14.1,11.1,16.8,7.9
42083,083,McKean County,McKean County,2022,57861,14.1,12.0,18.3,7.4
42121,121,Venango County,Venango County,2022,59278,13.4,12.8,18.5,7.3
42123,123,Warren County,Warren County,2022,57925,11.6,12.4,13.1,6.7
42023,023,Cameron County,Cameron County,2023,47681,16.0,8.5,23.6,12.7
42031,031,Clarion County,Clarion County,2023,60668,13.9,14.5,22.5,6.4
42033,033,Clearfield County,Clearfield County,2023,60181,13.8,13.4,19.0,7.2
42039,039,Crawford County,Crawford County,2023,60254,12.8,13.1,16.7,9.5
42047,047,Elk County,Elk County,2023,64103,9.1,13.4,15.0,6.8
42049,049,Erie County,Erie County,2023,61476,15.4,18.6,25.0,10.2
42053,053,Forest County,Forest County,2023,50061,14.7,8.8,3.8,7.2
42065,065,Jefferson County,Jefferson County,2023,56898,15.3,11.8,18.9,8.2
42083,083,McKean County,McKean County,2023,61705,13.7,12.7,16.4,7.4
42121,121,Venango County,Venango County,2023,61626,12.8,12.7,17.0,7.5
42123,123,Warren County,Warren County,2023,59013,11.4,12.6,12.9,6.2
