GEOID,county_fips,county_name,tract_code,tract_name,year,median_household_income,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,total_population,median_age,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,white_non_hispanic,black_alone,hispanic_latino,asian_alone,other_race,race_total,snap_participation_rate
42023960100,023,Cameron County,960100,"Census Tract 9601, Cameron County, Pennsylvania",2020,32786.0,26.7,5.9,18.6,13.7,2004,46.0,89.4,0.2,1.2,0.4,8.8,1791,4,24,9,176,2004,33.8
42023960200,023,Cameron County,960200,"Census Tract 9602, Cameron County, Pennsylvania",2020,46216.0,11.6,11.0,24.2,6.1,2508,55.6,98.7,0.0,0.6,0.1,0.6,2475,0,14,2,17,2508,15.4
42031160101,031,Clarion County,160101,"Census Tract 1601.01, Clarion County, Pennsylvania",2020,55938.0,10.1,10.9,17.7,2.2,1811,52.1,96.0,0.0,0.4,1.1,2.5,1738,0,7,20,46,1811,10.6
42031160103,031,Clarion County,160103,"Census Tract 1601.03, Clarion County, Pennsylvania",2020,42591.0,31.7,17.7,29.6,9.5,3083,26.9,88.7,4.7,1.5,0.0,5.1,2736,146,47,0,154,3083,19.0
42031160104,031,Clarion County,160104,"Census Tract 1601.04, Clarion County, Pennsylvania",2020,51450.0,10.6,17.4,14.4,3.3,1630,50.6,99.1,0.6,0.0,0.0,0.3,1615,9,0,0,6,1630,12.4
42031160201,031,Clarion County,160201,"Census Tract 1602.01, Clarion County, Pennsylvania",2020,51250.0,21.2,10.9,1.9,7.5,1884,42.8,100.0,0.0,0.0,0.0,0.0,1884,0,0,0,0,1884,8.9
42031160202,031,Clarion County,160202,"Census Tract 1602.02, Clarion County, Pennsylvania",2020,67188.0,3.8,18.3,7.0,1.9,1624,49.6,94.1,0.2,0.5,0.5,4.7,1528,4,8,8,76,1624,5.0
42031160300,031,Clarion County,160300,"Census Tract 1603, Clarion County, Pennsylvania",2020,53684.0,10.4,16.0,9.1,4.6,4802,42.7,95.3,0.7,0.4,0.4,3.2,4574,35,18,20,155,4802,11.7
42031160400,031,Clarion County,160400,"Census Tract 1604, Clarion County, Pennsylvania",2020,47647.0,11.3,10.4,13.2,8.9,3610,45.5,98.0,0.0,1.0,0.1,0.9,3539,0,36,3,32,3610,18.6
42031160500,031,Clarion County,160500,"Census Tract 1605, Clarion County, Pennsylvania",2020,46568.0,12.9,9.6,16.7,7.4,3403,48.4,96.5,0.1,1.0,0.0,2.4,3285,3,33,1,81,3403,18.1
42031160600,031,Clarion County,160600,"Census Tract 1606, Clarion County, Pennsylvania",2020,33854.0,26.4,24.3,32.4,15.5,5650,24.1,91.9,5.3,2.5,0.1,0.2,5194,302,139,3,12,5650,21.4
42031160701,031,Clarion County,160701,"Census Tract 1607.01, Clarion County, Pennsylvania",2020,46016.0,18.4,9.5,11.3,8.8,2028,47.3,95.3,0.0,2.2,1.8,0.7,1932,0,45,36,15,2028,21.8
42031160702,031,Clarion County,160702,"Census Tract 1607.02, Clarion County, Pennsylvania",2020,48790.0,19.2,9.0,22.1,4.6,2065,45.5,95.8,0.1,0.5,0.4,3.2,1978,3,10,8,66,2065,18.4
42031160800,031,Clarion County,160800,"Census Tract 1608, Clarion County, Pennsylvania",2020,54901.0,14.7,12.0,17.5,7.1,3538,48.0,96.9,0.8,1.1,1.0,0.2,3430,30,40,34,4,3538,14.9
42031160900,031,Clarion County,160900,"Census Tract 1609, Clarion County, Pennsylvania",2020,55540.0,9.9,9.8,10.9,6.0,3505,43.8,98.6,0.7,0.3,0.0,0.4,3457,25,11,1,11,3505,15.0
42033330100,033,Clearfield County,330100,"Census Tract 3301, Clearfield County, Pennsylvania",2020,52885.0,15.1,10.5,52.1,11.8,4953,51.4,93.9,2.4,1.1,1.2,1.4,4652,119,54,58,70,4953,21.5
42033330200,033,Clearfield County,330200,"Census Tract 3302, Clearfield County, Pennsylvania",2020,50563.0,14.3,16.1,7.6,7.8,3062,36.5,96.6,0.7,1.3,0.0,1.4,2958,21,40,0,43,3062,17.3
42033330300,033,Clearfield County,330300,"Census Tract 3303, Clearfield County, Pennsylvania",2020,42008.0,15.0,17.8,16.6,11.4,4351,40.1,98.7,0.6,0.2,0.5,-0.0,4293,28,7,23,0,4351,21.0
42033330400,033,Clearfield County,330400,"Census Tract 3304, Clearfield County, Pennsylvania",2020,80472.0,3.3,22.0,2.1,0.0,5615,42.0,96.2,0.0,3.2,0.4,0.2,5400,1,179,25,10,5615,12.4
42033330500,033,Clearfield County,330500,"Census Tract 3305, Clearfield County, Pennsylvania",2020,52346.0,11.7,9.7,10.6,5.0,4269,47.3,97.3,0.0,1.3,0.8,0.6,4155,0,55,35,24,4269,12.2
42033330600,033,Clearfield County,330600,"Census Tract 3306, Clearfield County, Pennsylvania",2020,40938.0,19.1,7.4,17.7,5.6,3085,55.7,98.6,0.0,1.1,0.1,0.2,3043,0,35,4,3,3085,23.9
42033330700,033,Clearfield County,330700,"Census Tract 3307, Clearfield County, Pennsylvania",2020,51083.0,12.9,7.3,17.9,5.3,2136,48.3,93.9,2.4,1.0,0.0,2.7,2006,51,21,0,58,2136,18.8
