ZCTA5CE20,zcta,year,area_name,county_name,median_household_income,total_population,median_age,state,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,unemployment_rate,homeownership_rate,snap_participation_rate
15711,15711,2020,Anita,Jefferson,58750.0,417,38.4,PA,8.6,7.1,12.5,2.3,100.0,0.0,0.0,0.0,0.0,6.8,77.0,11.5
15715,15715,2020,Big Run,Jefferson,41250.0,406,46.9,PA,20.9,7.8,0.0,2.5,98.3,0.0,0.0,0.0,1.7,5.8,74.2,13.1
15721,15721,2020,Burnside,Clearfield,46875.0,175,52.8,PA,14.3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,23.9,80.2,9.3
15724,15724,2020,Cherry Tree,Clearfield,49653.0,2059,51.3,PA,7.8,2.5,3.9,6.5,98.0,0.0,1.0,0.4,0.6,7.8,88.1,12.5
15730,15730,2020,Coolspring,Jefferson,50833.0,113,45.1,PA,37.2,2.7,0.0,0.0,74.3,0.0,0.0,0.0,25.7,6.8,90.0,20.0
15733,15733,2020,De Lancey,Jefferson,15341.0,152,54.3,PA,48.0,4.4,0.0,50.6,100.0,0.0,0.0,0.0,0.0,36.7,94.1,61.2
15742,15742,2020,Glen Campbell,Clearfield,47321.0,1034,39.1,PA,8.4,6.2,3.5,9.5,98.6,0.0,0.5,0.0,0.9,7.2,83.1,16.3
15744,15744,2020,Hamilton,Jefferson,42000.0,145,25.1,PA,4.8,9.6,0.0,8.3,99.3,0.0,0.7,0.0,0.0,4.2,85.4,10.4
15753,15753,2020,La Jose,Clearfield,45179.0,480,39.7,PA,17.7,5.6,4.5,7.3,100.0,0.0,0.0,0.0,0.0,13.7,87.6,24.9
15757,15757,2020,Mahaffey,Clearfield,40515.0,1466,50.6,PA,18.1,4.2,3.8,3.3,96.2,0.0,2.5,0.8,0.5,5.2,87.1,23.1
15764,15764,2020,Oliveburg,Jefferson,50227.0,143,61.2,PA,21.0,15.1,100.0,0.0,95.8,0.0,0.0,0.0,4.2,0.0,95.9,4.1
15767,15767,2020,Punxsutawney,Clearfield,43653.0,14229,44.6,PA,18.0,12.3,23.1,11.0,97.2,0.3,0.7,0.5,1.3,4.3,72.5,16.1
15770,15770,2020,Ringgold,Jefferson,63056.0,229,52.3,PA,8.7,4.8,0.0,10.2,95.2,0.0,4.8,0.0,-0.0,4.4,93.2,6.8
15772,15772,2020,Rossiter,Jefferson,47768.0,1748,35.0,PA,22.5,5.0,11.5,16.0,98.6,0.0,0.0,0.0,1.4,11.7,78.1,19.7
15776,15776,2020,Sprankle Mills,Jefferson,33750.0,56,49.5,PA,3.6,11.4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,14.8,93.1,6.9
15778,15778,2020,Timblin,Jefferson,78125.0,283,47.0,PA,5.3,5.9,66.7,6.2,90.1,0.0,9.9,0.0,0.0,2.8,95.4,16.9
15780,15780,2020,Valier,Jefferson,60536.0,116,60.8,PA,13.8,13.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,94.7,21.1
15781,15781,2020,Walston,Jefferson,48125.0,86,53.9,PA,0.0,26.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,16.3,95.2,14.3
15784,15784,2020,Worthville,Jefferson,68750.0,46,57.8,PA,2.2,16.7,33.3,0.0,97.8,0.0,2.2,0.0,0.0,0.0,87.0,8.7
15801,15801,2020,Du Bois,Clearfield,53634.0,18871,43.8,PA,11.1,16.7,21.7,7.6,96.1,0.9,1.7,0.6,0.7,6.4,69.5,17.6
15821,15821,2020,Benezett,Elk,45341.0,122,54.0,PA,3.3,6.2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.2,88.5,3.3
15823,15823,2020,Brockport,Clearfield,54338.0,1123,43.1,PA,7.7,6.1,0.0,4.4,98.6,0.1,0.0,0.0,1.3,1.2,84.9,9.5
15824,15824,2020,Brockway,Clearfield,50838.0,4962,45.2,PA,11.7,8.9,9.7,7.1,97.7,0.6,0.2,0.3,1.2,2.6,78.3,15.6
