agency_name,agency_ref,county,program_type,first_month,last_month,total_individuals_served,months_reported
Associated Charities - FP,01431,Crawford,Food Pantry/TEFAP,2024-07-31,2025-06-30,6923.0,12
BP - Cochranton Elementary - SHBP,02118,Crawford,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - First District Elementary - SHBP,02117,Crawford,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Neason Hill Elementary - SHBP,02121,Crawford,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Second District Elementary - SHBP,02119,Crawford,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - West End Elementary - SHBP,02120,Crawford,BackPacks,2024-10-31,2025-05-31,0.0,8
Bethesda Youth Services-Youth Rehab,04005,Crawford,Non-Emerg. Meal/Snack,2024-12-31,2024-12-31,26.0,1
Center For Family Services - FP,01255,Crawford,Food Pantry/TEFAP,2024-08-31,2025-06-30,19382.0,11
Centerville Fellowship Church - FP,07002,Crawford,Produce Express,2024-07-31,2025-06-30,1765.0,12
Conneaut Valley - FP,01539,Crawford,Food Pantry/TEFAP,2024-07-31,2025-06-30,6074.0,12
Linesville Area - FP,01524,Crawford,Food Pantry/TEFAP,2024-07-31,2025-06-30,1105.0,12
Meadville - SHFB MOBILE,10711,Crawford,Produce Express,2024-07-31,2025-06-30,2814.0,12
Meadville Family YMCA-Childcare,04589,Crawford,Non-Emerg. Meal/Snack,2024-08-31,2025-04-30,1795.0,8
Oil Valley - FP,01473,Crawford,Food Pantry/TEFAP,2024-07-31,2025-06-30,2697.0,12
Salvation Army Meadville - FP,01554,Crawford,Food Pantry/TEFAP,2024-07-31,2025-06-30,2809.0,12
St James Food Cupboard - FP,01561,Crawford,Food Pantry/TEFAP,2024-07-31,2025-06-30,1271.0,12
St Pauls Lutheran Church - FP,06058,Crawford,Produce Express,2024-07-31,2025-06-30,148.0,8
Trinity Evangelical Lutheran Church - FP,01604,Crawford,Food Pantry/TEFAP,2024-07-31,2025-06-30,617.0,12
United Faith Fellowship COG - FP,01570,Crawford,Food Pantry/TEFAP,2024-07-31,2025-06-30,770.0,11
Victory Family Church- FP,01607,Crawford,Food Pantry/TEFAP,2024-07-31,2025-06-30,10530.0,12
Adagio Health FP - Erie,01807,Erie,Food Pantry/No TEFAP,2025-06-30,2025-06-30,3.0,1
BP - Asbury Elementary - SHBP,02087,Erie,BackPacks,2024-07-31,2025-05-31,0.0,10
BP - Belle Valley School - SHBP,02081,Erie,BackPacks,2024-07-31,2025-05-31,0.0,10
BP - Community Country Day School - SHBP,02114,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Countryside Estates - SHBP,02116,Erie,BackPacks,2024-07-31,2024-08-31,0.0,2
BP - Diehl Elementary School - SHBP,02042,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Edison Elementary School - SHBP,02024,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Fairview Elementary - SHBP,02113,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Grandview Elementary - SHBP,02053,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
