agency_ref,agency_name,program_type,county,address,city,postal_code,lat,lon,is_pickup,geocode_source
01807,Adagio Health FP - Erie,Food Pantry,Erie,3530 PEACH ST SUITE 120,ERIE,16508,42.100204531285,-80.080103244633,False,census
01809,Adagio Health FP- Venango,Food Pantry,Venango,3292 PA-257,SENECA,16346,41.381738346537,-79.703476545711,False,census
01431,Associated Charities - FP,Food Pantry,Crawford,419  E. CENTRAL AVE,TITUSVILLE,16354,41.627520456177,-79.666173864607,True,census
03608,AVVC - Allegheny Valley Veterans Center,Shelter,Warren,100 North Main Street,Clarendon,16313,41.782365741568,-79.096143084588,False,census
09745,Beatty Warren Middle School - SCHOOL PANTRY ,School Pantry,Warren,2 EAST THIRD AVENUE,WARREN,16365,41.847820662926,-79.138186993295,False,census
05002,Benetwood Apartments-O.S.N.E.-Residence Seniors,Other,Erie,641 TROUPE ROAD,HARBORCREEK,16421,42.177368281161,-79.975800589508,True,census
01521,Bethany Outreach - FP,Food Pantry,Erie,204 West 11th Street,ERIE,16501,42.123091089186,-80.085898966537,True,census
04005,Bethesda Youth Services-Youth Rehab,Other,Crawford,15667 STATE HIGHWAY 86,MEADVILLE,16335,41.686594029924,-80.126315051318,False,census
01009,Blessed Sacrament - FP,Food Pantry,Erie,1626 W. 26TH ST.,ERIE,16502,42.099045032926,-80.108677863309,True,census
02087,BP - Asbury Elementary - SHBP ,BackPacks,Erie,5875  STERRETTANIA ROAD,FAIRVIEW,16415,42.04549538447,-80.17295585513,False,census
02081,BP - Belle Valley School - SHBP ,BackPacks,Erie,5300 HENDERSON ROAD,ERIE,16509,42.099368334971,-80.024815471314,False,census
02095,BP - Central Elementary School - SHBP ,BackPacks,Venango,1276 OTTER STREET,FRANKLIN,16323,41.39971532421,-79.828881287131,False,census
02122,BP - Clarion First United Methodist Church -SHBP,BackPacks,Clarion,600 WOOD STREET,CLARION,16214,41.212885663623,-79.384716075037,False,census
02118,BP - Cochranton Elementary - SHBP ,BackPacks,Crawford,11280 MERCER PIKE,MEADVILLE,16335,,,False,failed
02114,BP - Community Country Day School - SHBP ,BackPacks,Erie,5800 OLD ZUCK RD,ERIE,16506,42.060888731251,-80.116774265993,False,census
02116,BP - Countryside Estates - SHBP,BackPacks,Erie,2 SHARON DRIVE,MCKEAN,16426,42.02304309419,-80.130650162246,False,census
02123,BP - Crawford Central School District -SHBP,BackPacks,Crawford,505 Poplar Street,Meadville,16335,41.632905583293,-80.146883167959,False,census
02042,BP - Diehl Elementary School - SHBP ,BackPacks,Erie,2327 FAIRMONT PKWY,ERIE,16510,42.134042556453,-80.023400013298,False,census
02094,BP - DuBois Area Middle School - SHBP ,BackPacks,Clearfield,404 LIBERTY BOULEVARD,DUBOIS,15801,,,False,failed
02080,BP - East Forest Elementary - SHBP ,BackPacks,Forest,120 WEST BIRCH STREET,MARIENVILLE,16239,41.472742464663,-79.124073376763,False,census
02024,BP - Edison Elementary School - SHBP ,BackPacks,Erie,1921 EASTLAKE ROAD,ERIE,16510,,,False,failed
02077,BP - Eisenhower Elementary School - SHBP ,BackPacks,Warren,3700 ROUTE 957,RUSSELL,16345,41.961716702056,-79.203845750063,False,census
02050,BP - Erie School District,BackPacks,Erie,148 WEST 21ST STREET,ERIE,16502,42.115183161693,-80.078883076246,False,census
02113,BP - Fairview Elementary - SHBP ,BackPacks,Erie,5145 Avonia Road,FAIRVIEW,16415,42.023287464538,-80.250158531249,False,census
02117,BP - First District Elementary - SHBP,BackPacks,Crawford,11280 MERCER PIKE,MEADVILLE,16335,,,False,failed
02090,BP - Fox Township Elementary - SHBP,BackPacks,Elk,376 MAIN STREET,KERSEY,15846,41.362025983376,-78.603618059598,False,census
02053,BP - Grandview Elementary - SHBP,BackPacks,Erie,4301 LANCASTER ROAD,ERIE,16506,42.071148814084,-80.135551555941,False,census
02112,BP - Grover Cleveland - SHBP,BackPacks,Erie,1540 W 38th St,ERIE,16508,42.090062203684,-80.099556086776,False,census
02027,BP - Harding Elementary - SHBP,BackPacks,Erie,820 LINCOLN AVENUE,ERIE,16505,42.113286521463,-80.121881213118,False,census
02058,BP - Hasson Heights - SHBP,BackPacks,Venango,716 E. SECOND STREET,OIL CITY,16301,41.425920253307,-79.70360023838,False,census
02092,BP - Hickory Grove - SHBP,BackPacks,Jefferson,104 JENKS STREET -- THIS IS HICKORY,BROOKVILLE,15825,41.174101676555,-79.090739791419,False,census
02102,BP - Iroquois Elementary - SHBP,BackPacks,Erie,4231 MORSE STREET,ERIE,16511,42.153798862126,-80.013147145632,False,census
02029,BP - Jefferson Elementary - SHBP,BackPacks,Erie,230 EAST 38TH STREET,ERIE,16504,42.104123468478,-80.0618950865,False,census
02030,BP - Joanna Connell Elementary - SHBP,BackPacks,Erie,1820 EAST 38TH STREET,ERIE,16510,42.116630715176,-80.027799852486,False,census
02079,BP - Kane Elementary - SHBP,BackPacks,Mckean,400 WEST HEMLOCK AVENUE,KANE,16735,41.655732373622,-78.812091051935,False,census
02031,BP - Lincoln Elementary - SHBP,BackPacks,Erie,831 EAST 31ST STREET,ERIE,16504,42.116045571423,-80.048192818134,False,census
02124,BP - McKean Elementary School,BackPacks,Erie,5120 WEST ROAD,MCKEAN,16426,41.996866042481,-80.145168585047,False,census
02022,BP - McKinley School - SHBP,BackPacks,Erie,933 E 22ND STREET,ERIE,16503,42.122800200787,-80.055078924364,False,census
02074,BP - Mill Village Elementary - SHBP,BackPacks,Erie,2757 E. CENTER STREET,MILL VILLAGE,16427,,,False,failed
02121,BP - Neason Hill Elementary - SHBP,BackPacks,Crawford,11280 MERCER PIKE,MEADVILLE,16335,,,False,failed
02115,BP - North Clarion Elementary - SHBP,BackPacks,Clarion,10537 ROUTE 36,TIONESTA,16353,41.395198443834,-79.35754278947,False,census
