name,address,county,state,zip,lat,lon,store_type_raw,authorization_date,GEOID,zcta,is_urban
DOLLAR GENERAL 504,209 Sizerville Rd,CAMERON,PA,15834,41.51018,-78.21959,Combination Grocery/Other,1/4/2018,42023960200,15834,False
Emporium Food Store Llc,441 E 3rd St,CAMERON,PA,15834,41.50956,-78.22741,Supermarket,5/28/2025,42023960100,15834,True
ALDI 69050,22827 Route 68,CLARION,PA,16214,41.1965,-79.3912,Supermarket,10/23/2002,42031160800,16214,False
Choice 4083,533 E State St,CLARION,PA,16232,41.23431,-79.53631,Convenience Store,10/4/2018,42031160400,16232,False
Country Fair 36,10315 Route 322,CLARION,PA,16254,41.24289,-79.4258,Convenience Store,11/7/1978,42031160300,16254,False
County Line Market Llc,3204 Pine Hollow Dr,CLARION,PA,16353,41.42851,-79.36795,Convenience Store,1/16/2025,42031160201,16353,True
CVS Pharmacy 1680,Main St & 7th Ave (SEC),CLARION,PA,16214,41.21335,-79.38217,Combination Grocery/Other,4/21/2017,42031160600,16214,True
Dollar General 7864,612 Broad St,CLARION,PA,16242,41.00157,-79.32603,Combination Grocery/Other,8/11/2004,42031160800,16242,False
DOLLAR GENERAL 8395,7376 Route 68,CLARION,PA,16248,41.03119,-79.51218,Combination Grocery/Other,8/11/2004,42031160701,16248,True
DOLLAR GENERAL 2229,443 S 5th Ave # 20,CLARION,PA,16214,41.20589,-79.38975,Combination Grocery/Other,8/11/2004,42031160103,16214,True
Dollar General 7865,760 Miller St,CLARION,PA,16232,41.23117,-79.52774,Combination Grocery/Other,12/7/2004,42031160400,16232,False
DOLLAR GENERAL 18318,2337 Rt 157,CLARION,PA,16326,41.35591,-79.44265,Combination Grocery/Other,12/24/2017,42031160201,16326,True
DOLLAR GENERAL 18825,16111 Route 322,CLARION,PA,16214,41.20539,-79.34022,Combination Grocery/Other,1/4/2018,42031160104,16214,True
DOLLAR GENERAL 18812,10728 Route 66,CLARION,PA,16214,41.14768,-79.3259,Combination Grocery/Other,5/11/2018,42031160900,16214,False
DOLLAR GENERAL 18851,10208 Route 322,CLARION,PA,16254,41.24322,-79.42785,Combination Grocery/Other,6/6/2018,42031160300,16254,False
DOLLAR GENERAL 19633,3245 State Route 28 and 66,CLARION,PA,16242,40.97308,-79.35094,Combination Grocery/Other,8/28/2018,,,True
Dollar General 22678,13743 Route 68,CLARION,PA,16255,41.11003,-79.47915,Combination Grocery/Other,1/13/2022,42031160500,16255,False
Dollar General 30882,12693 Route 36,CLARION,PA,16353,41.48444,-79.45316,Combination Grocery/Other,5/8/2025,42053530200,16353,True
Dollar General Store 16801,32925 Route 66,CLARION,PA,16233,41.37102,-79.30296,Combination Grocery/Other,6/23/2016,42031160101,16233,False
Dollar Tree 1078,90 Clarion Plz,CLARION,PA,16214,40.98891,-79.61342,Combination Grocery/Other,7/12/2014,42031160701,16028,True
