TRACTCE,count_grocery_supermarket,count_grocery_large,count_grocery_medium,count_grocery_small,count_grocery_combination,count_grocery_specialty,count_farmers_market,count_convenience,count_pharmacy,count_hospital,count_clinic,count_library,count_school,count_community_center,count_social_services,count_grocery_any,count_snap_retailers,count_total_civic,nearest_grocery_full_m,nearest_grocery_full_miles,nearest_pharmacy_m,nearest_pharmacy_miles,nearest_hospital_m,nearest_hospital_miles,nearest_clinic_m,nearest_clinic_miles,nearest_library_m,nearest_library_miles,nearest_community_center_m,nearest_community_center_miles,nearest_social_services_m,nearest_social_services_miles
011511,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,2,7,3327.20178044404,2.07,5569.660555390905,3.46,6831.887486805525,4.25,2951.1340772941408,1.83,331.1674852599965,0.21,769.7784177025908,0.48,3151.973238367117,1.96
000902,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,1,1,7,211.34072496151677,0.13,1636.6886230901573,1.02,517.9974766391257,0.32,165.21419463689398,0.1,474.7721369630013,0.3,863.3609242009358,0.54,190.47194078045897,0.12
000901,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,638.6864052532884,0.4,645.2018691567163,0.4,1356.9336265607174,0.84,875.6012426473745,0.54,1475.6894981407938,0.92,1459.0456114833567,0.91,627.1927733321811,0.39
011509,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,8,1853.8528469500686,1.15,8722.703463152528,5.42,13328.007073400866,8.28,3896.279075838253,2.42,6995.20756758027,4.35,7695.423366956761,4.78,4550.86150685587,2.83
010108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1631.0884701336745,1.01,14203.18657769342,8.83,28050.968620337895,17.43,1583.8374976763525,0.98,1722.3345322316213,1.07,1669.3963172066674,1.04,1565.5875360416353,0.97
011510,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,2,8,3731.1195544493316,2.32,8901.970293578179,5.53,11215.757680193956,6.97,4225.457262857455,2.63,4202.316711056024,2.61,3950.890587190555,2.45,5820.765733890852,3.62
011508,2,0,0,0,1,0,0,4,0,0,3,0,1,0,1,3,8,23,1207.6844272279125,0.75,4375.148592204148,2.72,7128.8033829154165,4.43,1502.918639106802,0.93,2127.1933233222876,1.32,1764.0486353135425,1.1,1270.1461465142438,0.79
011600,1,0,0,0,2,0,0,4,1,0,4,1,4,0,4,3,7,36,678.5291303434423,0.42,787.3719709465215,0.49,22674.330932090226,14.09,596.2024736628869,0.37,355.2523532821408,0.22,15691.573577538595,9.75,266.13861725296795,0.17
010101,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,9,2540.054013665381,1.58,11789.797326592126,7.33,28021.034404691716,17.41,10772.10423699572,6.69,10685.81168936376,6.64,10512.459557079705,6.53,10656.749417052157,6.62
010202,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,4,10,2763.20823174034,1.72,1958.3737409603955,1.22,17827.087446323385,11.08,1932.8292261369677,1.2,2599.6127553363494,1.62,10785.72756750566,6.7,2227.3956014708824,1.38
010103,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,5446.157445726509,3.38,15676.01302942365,9.74,31268.017058200163,19.43,5806.887717917282,3.61,5838.582296304475,3.63,5476.428030834386,3.4,5595.004888999652,3.48
011503,0,0,0,0,1,0,0,1,0,0,2,0,1,0,2,1,2,9,615.4038144167135,0.38,4266.402393250173,2.65,8011.338174289465,4.98,1069.9823741407588,0.66,1772.051455778293,1.1,3947.869812267186,2.45,728.4497707992471,0.45
010903,0,0,0,0,0,0,0,1,0,1,3,0,3,0,1,0,1,15,1600.7572457486397,0.99,2075.984119062692,1.29,1477.4954246771324,0.92,1421.4269991051156,0.88,2665.5335407885705,1.66,4306.948422217196,2.68,1569.204504144532,0.98
012201,1,0,0,0,2,0,0,2,0,0,1,0,7,0,0,3,5,22,2489.901729893885,1.55,3078.585550846649,1.91,18159.688156601846,11.28,3525.8996256506407,2.19,3350.3568495736567,2.08,5405.9586587517615,3.36,3270.1940442933906,2.03
001200,0,0,1,1,1,0,1,3,0,0,4,0,1,2,0,3,7,22,168.94861891661594,0.1,1651.015491334367,1.03,909.7230731234891,0.57,305.4308307182824,0.19,1386.1156996052762,0.86,333.39397412447045,0.21,1052.473304231396,0.65
012001,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,1,11,3410.6137017889932,2.12,13406.153550512703,8.33,27562.127250700425,17.13,14098.555901736017,8.76,3804.3712154427735,2.36,4174.300956144297,2.59,21915.697965638366,13.62
