TRACTCE,stop_count,avg_daily_visits,total_daily_visits,avg_first_service,avg_last_service,nearest_stop_meters,nearest_stop_miles
011511,8,76.4,611.0,7:44 AM,7:14 PM,173.0,0.11
000902,9,75.4,679.0,6:37 AM,12:21 PM,120.0,0.07
000901,11,62.3,685.0,6:30 AM,12:12 PM,140.0,0.09
011509,17,7.4,126.0,9:30 AM,12:25 PM,1341.0,0.83
010108,2,4.0,8.0,10:25 AM,4:23 PM,429.0,0.27
011510,4,14.5,58.0,9:45 AM,12:20 PM,3389.0,2.11
011508,38,56.4,2145.0,5:05 AM,6:54 PM,178.0,0.11
011600,14,12.0,168.0,5:48 AM,7:43 PM,299.0,0.19
010101,0,0.0,0.0,,,10134.0,6.3
010202,1,4.0,4.0,9:48 AM,3:46 PM,1822.0,1.13
010103,0,0.0,0.0,,,5513.0,3.43
011503,11,2.5,28.0,9:25 AM,12:30 PM,446.0,0.28
010903,6,63.0,378.0,6:21 AM,11:34 PM,1621.0,1.01
012201,13,18.0,234.0,7:07 AM,8:49 PM,2297.0,1.43
001200,28,69.9,1956.0,5:00 AM,11:07 PM,241.0,0.15
012001,4,8.0,32.0,5:37 AM,2:51 PM,2408.0,1.5
011802,9,8.0,72.0,5:45 AM,2:59 PM,823.0,0.51
001900,23,75.5,1736.0,6:46 AM,11:54 PM,158.0,0.1
002000,16,39.7,635.0,5:05 AM,11:13 PM,51.0,0.03
012002,8,9.0,72.0,5:34 AM,2:34 PM,289.0,0.18
002500,15,35.0,525.0,6:28 AM,8:23 PM,234.0,0.15
000200,25,59.4,1484.0,6:25 AM,12:07 PM,371.0,0.23
000300,22,73.5,1616.0,7:43 AM,10:03 PM,217.0,0.14
011002,34,52.3,1777.0,6:31 AM,6:38 PM,473.0,0.29
000100,36,154.1,5549.0,7:57 AM,10:17 PM,57.0,0.04
000500,18,55.3,996.0,5:58 AM,10:59 PM,41.0,0.03
000600,27,60.2,1625.0,6:16 AM,11:36 PM,131.0,0.08
000700,15,51.3,769.0,5:42 AM,8:46 PM,173.0,0.11
000800,15,61.1,917.0,4:48 AM,7:48 PM,174.0,0.11
001000,30,62.0,1861.0,6:29 AM,12:11 PM,7.0,0.0
001100,21,53.6,1126.0,5:44 AM,12:05 PM,387.0,0.24
001300,28,38.0,1063.0,6:11 AM,12:06 PM,33.0,0.02
001400,3,12.0,36.0,8:12 AM,2:02 PM,387.0,0.24
001500,19,58.5,1112.0,5:09 AM,8:09 PM,224.0,0.14
001600,34,35.6,1209.0,6:21 AM,10:05 PM,268.0,0.17
001700,18,38.9,700.0,4:55 AM,6:44 PM,168.0,0.1
001800,25,52.4,1310.0,4:45 AM,6:34 PM,175.0,0.11
010301,11,14.8,163.0,6:59 AM,8:44 PM,1147.0,0.71
002300,25,44.4,1110.0,6:41 AM,11:49 PM,4.0,0.0
011701,12,12.0,144.0,5:50 AM,7:45 PM,1704.0,1.06
010107,0,0.0,0.0,,,1464.0,0.91
011202,38,56.6,2152.0,7:22 AM,9:52 PM,1121.0,0.7
010800,29,66.6,1930.0,5:23 AM,11:48 PM,297.0,0.18
012100,21,7.9,166.0,5:11 AM,2:11 PM,695.0,0.43
002900,33,33.7,1112.0,9:22 AM,9:02 PM,469.0,0.29
011300,6,56.3,338.0,5:52 AM,11:50 PM,457.0,0.28
010304,6,38.0,228.0,7:35 AM,8:30 PM,2226.0,1.38
010400,36,34.1,1226.0,7:39 AM,8:34 PM,198.0,0.12
010500,28,32.0,896.0,6:03 AM,11:43 PM,342.0,0.21
010700,15,67.3,1009.0,5:25 AM,11:50 PM,279.0,0.17
010902,17,49.4,839.0,5:21 AM,11:33 PM,364.0,0.23
011400,22,50.2,1105.0,10:03 AM,12:38 PM,294.0,0.18
012202,4,18.2,73.0,7:15 AM,9:23 PM,587.0,0.36
000400,17,104.0,1768.0,6:00 AM,5:49 PM,326.0,0.2
003000,29,45.6,1322.0,6:28 AM,11:41 PM,57.0,0.04
010104,1,8.0,8.0,10:16 AM,4:47 PM,4778.0,2.97
010201,13,5.6,73.0,7:42 AM,5:15 PM,493.0,0.31
010303,15,22.1,331.0,7:49 AM,5:20 PM,340.0,0.21
010904,0,0.0,0.0,,,2728.0,1.7
011001,22,67.5,1486.0,6:35 AM,10:53 PM,890.0,0.55
011101,10,14.0,140.0,6:27 AM,5:39 PM,780.0,0.48
