ZCTA5CE20,count_grocery_supermarket,count_grocery_large,count_grocery_medium,count_grocery_small,count_grocery_combination,count_grocery_specialty,count_farmers_market,count_convenience,count_pharmacy,count_hospital,count_clinic,count_library,count_school,count_community_center,count_social_services,count_grocery_any,count_snap_retailers,count_total_civic,nearest_grocery_miles,nearest_pharmacy_m,nearest_pharmacy_miles,nearest_hospital_m,nearest_hospital_miles,nearest_clinic_m,nearest_clinic_miles,nearest_library_m,nearest_library_miles,nearest_community_center_m,nearest_community_center_miles,nearest_social_services_m,nearest_social_services_miles,nearest_pantry_miles,nearest_snap_miles,no_vehicle_rate,poverty_rate,median_household_income,total_population,area_name,county_name,unemployment_rate,no_insurance_rate
15845,2,0,0,0,2,0,0,7,0,0,0,0,0,0,0,4,11,11,0.76,90163.2824221276,56.03,83689.10130882032,52.0,84953.09679930814,52.79,105499.81756924404,65.55,90301.3456766273,56.11,83897.61719534539,52.13,1.37,0.77,5.5,9.4,65000.0,3109,Johnsonburg,Elk,7.8,7.9
16245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,86346.1848975236,53.65,77305.67762350815,48.04,77841.60195588761,48.37,100818.94933220444,62.65,86624.85060681705,53.83,77748.12680873906,48.31,0.73,1.05,11.3,7.3,48750.0,262,Oak Ridge,Clarion,10.4,9.1
16256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,106285.97192556654,66.04,96656.68077604636,60.06,97259.29367644692,60.43,120810.91938796714,75.07,106053.97858939136,65.9,97095.37719214178,60.33,10.57,7.07,47.0,20.1,57847.0,1925,Smicksburg,Jefferson,4.7,12.7
15744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,106582.5267111126,66.23,94504.9354651453,58.72,95195.36035859032,59.15,120834.94843882906,75.08,103963.272750196,64.6,94936.2361199261,58.99,6.02,3.66,0.0,0.0,109688.0,46,Hamilton,Jefferson,0.0,8.6
15784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,94706.7539771872,58.85,81381.04783394554,50.57,82092.7815130343,51.01,108711.10567182556,67.55,90845.98137824872,56.45,81810.18788862797,50.83,7.79,2.53,0.0,2.0,58125.0,49,Worthville,Jefferson,0.0,8.0
16878,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3.65,149494.29944628483,92.89,136202.07463210696,84.63,137262.01570688962,85.29,164802.40475830523,102.4,145110.08680278272,90.17,136554.49338779724,84.85,6.87,2.71,4.2,16.4,65000.0,1784,West Decatur,Clearfield,7.0,8.9
16651,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,4,7,7,1.45,153890.57742971237,95.62,139465.0994973885,86.66,140467.46441864525,87.28,169020.21120641875,105.02,148583.89304358364,92.33,139837.06688441202,86.89,8.86,1.45,8.0,12.4,64965.0,5777,Houtzdale,Clearfield,5.2,11.9
15767,1,1,4,2,5,0,0,14,0,0,0,0,0,0,0,13,37,37,0.91,110575.84361357968,68.71,95695.61459094606,59.46,96491.3484538881,59.96,124444.36237231802,77.33,105152.9589624792,65.34,96113.56649541222,59.72,1.11,0.66,11.3,19.1,49907.0,14136,Punxsutawney,Clearfield,4.4,9.1
15824,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,4,4,2.57,95447.99734418408,59.31,82325.57705063619,51.15,83420.24922570855,51.84,110711.11038085954,68.79,91101.55930591242,56.61,82664.6147048275,51.37,7.43,2.58,5.4,10.7,62500.0,4954,Brockway,Clearfield,5.3,7.7
16738,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,4,4,6.14,78783.91499365361,48.95,80535.43420239711,50.04,78843.8423210206,48.99,89549.96389389051,55.64,78952.02164577824,49.06,80571.28986087447,50.06,7.56,2.0,2.2,9.1,64450.0,2018,Lewis Run,McKean,2.4,11.9
