ZCTA5CE20,count_grocery_supermarket,count_grocery_large,count_grocery_medium,count_grocery_small,count_grocery_combination,count_grocery_specialty,count_farmers_market,count_convenience,count_pharmacy,count_hospital,count_clinic,count_library,count_school,count_community_center,count_social_services,count_grocery_any,count_snap_retailers,count_total_civic,nearest_grocery_full_m,nearest_grocery_full_miles,nearest_pharmacy_m,nearest_pharmacy_miles,nearest_hospital_m,nearest_hospital_miles,nearest_clinic_m,nearest_clinic_miles,nearest_library_m,nearest_library_miles,nearest_community_center_m,nearest_community_center_miles,nearest_social_services_m,nearest_social_services_miles
15845,2,0,0,0,2,0,0,7,0,0,0,0,0,0,0,4,11,11,1225.9754362253398,0.76,90163.2824221276,56.03,83689.10130882032,52.0,84953.09679930814,52.79,105499.81756924404,65.55,90301.3456766273,56.11,83897.61719534539,52.13
16245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2670.645934015176,1.66,86346.1848975236,53.65,77305.67762350815,48.04,77841.60195588761,48.37,100818.94933220443,62.65,86624.85060681705,53.83,77748.12680873906,48.31
16256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11374.056039163379,7.07,106285.97192556654,66.04,96656.68077604636,60.06,97259.29367644692,60.43,120810.91938796714,75.07,106053.97858939135,65.9,97095.37719214178,60.33
15744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7414.163062817063,4.61,106582.5267111126,66.23,94504.9354651453,58.72,95195.36035859033,59.15,120834.94843882906,75.08,103963.272750196,64.6,94936.2361199261,58.99
15784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4103.547512851313,2.55,94706.7539771872,58.85,81381.04783394554,50.57,82092.7815130343,51.01,108711.10567182556,67.55,90845.98137824872,56.45,81810.18788862797,50.83
16878,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,5874.163787707051,3.65,149494.29944628483,92.89,136202.07463210696,84.63,137262.01570688962,85.29,164802.40475830523,102.4,145110.08680278272,90.17,136554.49338779724,84.85
16651,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,4,7,7,2334.65223409434,1.45,153890.57742971237,95.62,139465.0994973885,86.66,140467.46441864525,87.28,169020.21120641875,105.02,148583.89304358364,92.33,139837.06688441202,86.89
15767,1,1,4,2,5,0,0,14,0,0,0,0,0,0,0,13,37,37,1468.6922752094738,0.91,110575.84361357968,68.71,95695.61459094606,59.46,96491.3484538881,59.96,124444.36237231802,77.33,105152.9589624792,65.34,96113.56649541222,59.72
15824,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,4,4,4129.337694018668,2.57,95447.99734418407,59.31,82325.57705063619,51.15,83420.24922570855,51.84,110711.11038085954,68.79,91101.55930591242,56.61,82664.6147048275,51.37
16738,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,4,4,9888.003414589464,6.14,78783.91499365361,48.95,80535.43420239711,50.04,78843.8423210206,48.99,89549.96389389051,55.64,78952.02164577824,49.06,80571.28986087447,50.06
16732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4806.642357095371,2.99,89681.41135662196,55.73,92565.16337812577,57.52,89749.1216840825,55.77,97605.16299850101,60.65,89852.67525382257,55.83,92584.8026997591,57.53
16730,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1301.7200428249155,0.81,105037.33100872223,65.27,106457.5481448244,66.15,105099.18573667196,65.31,113817.95151835222,70.72,105206.2905159714,65.37,106514.39233448099,66.19
15870,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,12326.254072007845,7.66,96083.19588525526,59.7,91913.90919429,57.11,93194.07063444468,57.91,111092.83931637194,69.03,96232.97554402672,59.8,92079.60511377212,57.22
16550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473.95669794730287,0.29,1268.1314636903123,0.79,140.2172946187478,0.09,155.65040496044017,0.1,351.102606880842,0.22,856.5728511992598,0.53,939.8564402807748,0.58
