tract_geoid,tract_code,county_fips,countyname,year,diabetes_rate,high_bp_rate,depression_rate,obesity_rate,smoking_rate,no_insurance_rate,poor_mental_health_rate,poor_physical_health_rate,asthma_rate,heart_disease_rate,stroke_rate,copd_rate,any_disability_rate,cognitive_disability_rate,mobility_disability_rate,sleep_deprivation_rate,physical_inactivity_rate,binge_drinking_rate,arthritis_rate,high_cholesterol_rate,kidney_disease_rate,cancer_rate,hearing_disability_rate,vision_disability_rate,teeth_loss_rate,poor_general_health_rate
42039110100,110100,42039,Crawford,2021,12.2,35.8,27.7,42.2,28.7,11.7,20.1,16.6,12.2,8.1,4.0,11.3,39.2,20.1,19.3,,34.2,15.9,33.4,35.8,3.4,6.8,9.2,7.5,,24.3
42039110201,110201,42039,Crawford,2021,8.7,30.9,23.2,37.1,18.0,6.1,15.0,11.1,10.1,5.7,2.8,6.6,26.7,12.0,11.9,,23.0,18.1,29.6,33.7,2.7,7.1,6.6,3.6,,14.1
42039110202,110202,42039,Crawford,2021,9.1,30.2,26.7,40.3,22.2,8.6,18.8,12.7,12.1,5.5,2.9,7.5,31.1,16.1,13.9,,28.1,16.5,28.8,31.0,2.7,6.1,6.4,5.0,,17.6
42039110300,110300,42039,Crawford,2021,12.0,37.0,25.2,40.7,24.3,9.3,17.6,15.2,11.2,8.3,4.1,10.2,36.6,16.7,18.4,,31.7,15.4,34.8,36.7,3.6,7.9,9.4,6.3,,21.4
42039110400,110400,42039,Crawford,2021,11.9,37.3,24.2,39.6,22.2,8.2,16.4,14.4,10.8,8.3,4.0,9.7,35.0,15.2,17.6,,29.9,15.3,35.4,37.4,3.6,8.4,9.3,5.7,,19.9
42039110501,110501,42039,Crawford,2021,10.9,35.7,23.4,39.1,20.6,7.2,15.4,13.2,10.4,7.3,3.5,8.5,31.5,13.5,15.3,,27.2,16.2,34.0,36.7,3.2,8.0,8.2,4.8,,17.6
42039110502,110502,42039,Crawford,2021,11.0,36.8,22.2,37.2,16.8,5.8,13.9,12.3,10.1,7.7,3.6,7.9,30.2,11.7,14.9,,24.9,15.1,35.4,37.9,3.4,9.1,8.6,4.3,,15.9
42039110600,110600,42039,Crawford,2021,9.0,32.1,22.6,36.6,17.4,5.9,14.4,11.2,10.0,6.1,2.9,6.7,27.2,11.7,12.4,,23.3,17.5,31.0,34.7,2.8,7.6,7.0,3.7,,14.2
42039110700,110700,42039,Crawford,2021,9.9,34.0,23.2,37.6,19.1,7.1,15.3,12.4,10.3,7.0,3.4,7.8,30.9,13.3,14.6,,26.2,16.7,32.3,35.2,3.2,8.0,8.1,4.5,,16.5
42039110800,110800,42039,Crawford,2021,10.0,33.4,24.2,38.6,20.8,7.4,16.1,12.7,10.6,6.7,3.2,8.0,30.7,13.9,14.3,,26.6,17.0,31.8,35.0,3.0,7.4,7.6,4.6,,16.9
42039110900,110900,42039,Crawford,2021,11.4,35.8,25.1,40.4,23.6,8.7,17.2,14.5,11.1,7.7,3.7,9.5,34.5,15.9,17.0,,30.0,16.1,33.9,36.2,3.3,7.6,8.7,5.7,,19.9
42039111000,111000,42039,Crawford,2021,11.7,36.7,24.3,39.7,21.9,7.9,16.5,14.2,10.8,7.9,3.8,9.4,34.2,15.0,17.0,,29.5,15.6,34.8,37.0,3.5,8.1,8.9,5.5,,19.3
42039111100,111100,42039,Crawford,2021,12.5,36.7,26.7,40.4,23.1,9.7,19.4,15.6,11.9,8.7,4.3,10.6,39.3,18.7,19.7,,33.0,14.5,34.5,35.9,3.8,8.0,9.9,7.4,,22.4
42039111200,111200,42039,Crawford,2021,12.2,37.3,25.4,39.8,22.4,8.8,17.3,14.9,11.3,8.4,4.2,10.2,36.8,16.4,18.8,,31.1,14.7,35.7,36.8,3.8,8.5,9.6,6.4,,20.9
42039111300,111300,42039,Crawford,2021,9.9,33.6,23.8,38.2,20.0,7.1,15.7,12.6,10.5,6.7,3.3,7.9,30.3,13.4,14.3,,26.3,16.8,32.4,35.4,3.0,7.7,7.7,4.4,,16.6
42039111400,111400,42039,Crawford,2021,9.8,33.5,23.0,37.3,17.6,6.3,14.9,11.7,10.3,6.6,3.2,7.3,28.9,12.4,13.6,,24.7,16.2,31.9,35.2,3.0,7.8,7.4,4.3,,15.5
42039111500,111500,42039,Crawford,2021,10.3,33.1,25.4,39.4,21.3,8.1,17.8,13.2,11.2,6.6,3.3,8.3,33.0,15.7,15.4,,28.4,16.6,31.1,33.6,3.1,7.1,7.7,5.4,,18.2
42039111600,111600,42039,Crawford,2021,13.4,35.6,29.4,44.1,29.0,12.5,23.3,17.3,13.2,7.9,4.1,11.6,42.4,23.4,20.5,,36.9,15.0,31.6,34.0,3.5,6.0,8.9,9.4,,26.3
42039111700,111700,42039,Crawford,2021,8.0,27.2,25.9,32.8,14.1,6.4,18.5,10.6,11.3,5.7,2.8,6.2,30.1,15.1,11.9,,22.9,17.7,25.4,29.9,2.7,6.5,7.0,4.3,,14.0
42039111800,111800,42039,Crawford,2021,10.7,36.1,22.6,37.5,18.6,6.8,14.6,12.7,10.2,7.5,3.6,8.2,31.3,12.7,15.4,,26.7,15.3,34.7,37.0,3.4,8.8,8.6,4.6,,16.9
42039111900,111900,42039,Crawford,2021,10.9,34.3,26.1,40.1,25.1,10.0,18.3,14.8,11.5,7.4,3.7,9.8,35.4,17.2,16.9,,30.8,16.6,32.6,35.5,3.2,7.1,8.4,5.9,,20.8
42039112001,112001,42039,Crawford,2021,11.4,37.3,23.0,38.5,19.5,6.8,14.8,13.4,10.4,7.9,3.7,8.8,32.0,13.0,16.1,,27.3,15.2,35.9,38.2,3.5,8.8,8.7,4.8,,17.7
42039112002,112002,42039,Crawford,2021,12.7,40.6,22.3,39.1,19.6,6.6,14.1,14.2,10.3,9.1,4.2,9.7,33.5,12.6,17.6,,28.4,14.0,39.1,40.6,3.9,9.8,9.8,5.0,,18.7
42049000100,000100,42049,Erie,2021,27.0,50.8,25.8,49.7,37.3,19.3,23.7,27.6,14.6,16.4,8.6,22.1,57.6,29.3,38.0,,50.3,10.7,45.7,45.8,6.5,9.1,16.1,19.8,,43.8
42049000200,000200,42049,Erie,2021,10.3,33.6,19.0,33.0,13.5,5.2,12.9,11.4,10.0,7.4,3.5,6.9,29.1,10.7,14.4,,22.4,15.3,34.3,37.8,3.6,9.9,8.6,4.2,,14.6
42049000300,000300,42049,Erie,2021,10.3,27.6,24.9,39.4,22.3,11.2,22.7,13.5,13.0,5.4,3.0,7.5,35.4,20.6,14.2,,29.7,17.7,23.6,29.4,2.7,4.6,6.2,7.1,,20.7
42049000400,000400,42049,Erie,2021,14.0,35.9,21.9,42.2,24.1,12.0,19.6,15.7,12.2,8.8,4.3,9.6,38.6,19.0,18.8,,33.0,15.3,30.6,35.1,3.7,6.6,9.6,8.2,,24.2
42049000500,000500,42049,Erie,2021,14.8,35.1,26.3,46.9,34.8,17.9,24.6,19.5,14.2,7.9,4.3,12.4,44.8,26.0,22.2,,41.1,15.0,30.8,34.5,3.5,5.3,8.6,11.5,,31.6
42049000600,000600,42049,Erie,2021,13.6,33.8,25.4,43.6,28.3,13.9,22.4,17.4,13.6,7.6,4.1,11.0,40.6,22.3,20.0,,35.9,15.1,31.0,34.8,3.5,6.0,8.3,9.3,,26.7
42049000700,000700,42049,Erie,2021,15.8,35.8,26.1,49.1,35.9,19.1,25.5,20.0,14.6,7.5,4.4,12.2,45.9,27.5,22.9,,42.7,14.5,29.9,33.3,3.5,4.7,8.0,13.1,,33.5
42049000800,000800,42049,Erie,2021,18.9,40.7,24.9,50.2,37.4,18.3,24.3,21.6,14.5,9.3,5.3,14.0,47.6,26.9,26.0,,44.1,13.6,33.7,36.6,4.1,5.4,9.2,14.0,,35.9
42049000900,000900,42049,Erie,2021,8.3,23.9,25.3,36.9,20.3,9.7,22.3,12.0,12.6,4.3,2.3,6.4,31.9,19.3,11.5,,26.4,18.9,21.0,27.5,2.2,4.0,5.3,5.8,,17.6
42049001000,001000,42049,Erie,2021,9.4,26.2,25.8,39.9,23.9,10.9,22.2,13.4,12.8,4.9,2.6,7.5,33.6,19.9,13.3,,28.6,18.6,23.6,29.2,2.4,4.4,5.9,6.4,,19.7
42049001100,001100,42049,Erie,2021,11.5,31.6,23.7,40.1,24.0,10.8,19.1,14.7,12.1,6.7,3.5,9.0,34.6,17.6,16.4,,30.0,16.9,30.2,34.6,3.2,6.5,7.7,6.4,,21.1
42049001200,001200,42049,Erie,2021,14.4,33.4,25.0,45.8,30.9,17.1,23.7,17.9,13.6,7.0,3.9,10.5,42.5,24.5,20.1,,39.1,15.3,28.3,33.1,3.3,4.9,7.8,10.9,,29.4
42049001300,001300,42049,Erie,2021,20.5,41.9,24.1,52.2,37.1,21.0,25.8,22.1,15.9,8.6,5.8,13.5,50.0,29.2,27.8,,47.5,12.2,32.4,34.6,4.4,4.9,8.2,16.9,,39.1
42049001400,001400,42049,Erie,2021,13.1,32.5,22.5,45.5,31.9,18.9,22.7,16.7,12.6,6.3,3.7,9.5,41.2,24.0,17.9,,38.0,17.3,24.9,31.4,3.0,4.1,7.1,10.2,,28.7
42049001500,001500,42049,Erie,2021,18.1,38.7,23.7,49.6,32.8,19.8,24.3,20.0,15.0,8.0,5.1,11.9,46.8,26.8,24.7,,44.1,12.9,30.9,34.0,4.1,5.1,7.9,14.3,,35.1
42049001600,001600,42049,Erie,2021,14.4,36.6,21.9,42.6,24.6,10.8,18.9,15.9,12.3,7.8,4.3,9.8,37.3,18.0,19.3,,33.0,15.1,32.9,36.3,3.7,6.9,8.2,7.8,,24.0
42049001700,001700,42049,Erie,2021,14.8,34.5,24.3,46.6,31.7,16.9,23.4,17.9,14.0,6.7,4.1,10.4,42.1,24.1,20.4,,39.2,15.1,28.7,32.8,3.4,4.8,7.1,10.7,,29.7
42049001800,001800,42049,Erie,2021,19.8,40.6,22.7,49.8,34.7,18.0,24.3,20.3,14.6,8.2,5.4,12.0,46.8,26.5,25.5,,45.3,12.3,31.1,34.3,4.2,4.8,7.8,15.1,,35.7
42049001900,001900,42049,Erie,2021,17.0,41.9,22.6,40.8,25.7,14.0,20.0,19.6,12.4,12.3,6.4,14.0,48.2,22.2,27.5,,40.9,12.6,38.8,39.8,5.2,9.7,13.9,11.6,,30.4
