zcta,diabetes_rate,high_bp_rate,depression_rate,obesity_rate,smoking_rate,no_insurance_rate,poor_mental_health_rate,poor_physical_health_rate,asthma_rate,heart_disease_rate,stroke_rate,copd_rate,any_disability_rate,sleep_deprivation_rate,physical_inactivity_rate,binge_drinking_rate,arthritis_rate,high_cholesterol_rate,cancer_rate,poor_general_health_rate
16563,1.0,6.9,25.7,22.6,8.8,7.1,24.3,5.6,11.5,0.7,0.4,1.8,24.0,28.9,15.2,27.0,4.1,11.1,0.7,8.1
16110,11.6,36.6,24.4,39.5,22.9,8.9,16.7,14.8,11.0,8.2,4.0,9.9,35.5,36.3,30.6,15.8,34.7,36.8,8.3,20.5
16111,10.2,32.4,26.8,39.9,25.3,10.2,19.0,14.3,11.6,6.7,3.3,9.3,34.4,37.3,30.1,17.3,30.6,34.2,6.5,20.1
16131,11.5,36.2,24.8,39.8,23.8,9.4,17.0,14.8,11.1,8.0,3.9,9.9,35.4,36.4,30.5,16.0,34.4,36.8,7.9,20.6
16134,11.3,36.3,22.9,39.0,19.5,7.1,15.3,13.4,10.5,7.9,3.7,8.8,31.9,35.5,27.6,15.7,34.2,36.9,8.6,17.9
16314,10.3,34.2,23.9,38.5,20.8,7.5,16.0,13.1,10.6,7.0,3.4,8.3,31.2,35.7,27.1,16.6,32.6,35.6,7.7,17.4
16316,10.9,36.1,23.0,38.0,18.6,6.7,14.7,12.7,10.3,7.5,3.5,8.2,30.9,34.3,26.0,15.6,34.7,37.2,8.6,16.7
16327,10.0,33.6,24.2,38.5,20.7,7.5,16.2,12.8,10.6,6.8,3.3,8.1,31.0,35.6,26.8,17.0,31.9,35.1,7.5,17.0
16328,14.6,44.0,22.3,39.1,20.7,7.6,14.4,15.8,10.4,10.9,5.1,11.5,38.4,34.7,32.1,12.5,42.1,42.0,10.9,21.8
16335,10.3,33.2,24.8,38.0,19.7,7.7,17.2,12.9,11.0,6.8,3.4,8.1,32.4,35.3,27.3,16.2,31.2,34.3,7.4,17.6
16354,11.9,36.5,24.7,39.0,22.1,8.4,17.4,14.6,11.2,8.1,4.0,9.7,35.6,36.2,30.1,15.3,34.1,36.3,8.1,20.2
16360,11.0,35.0,25.0,39.9,22.8,8.3,17.0,14.0,11.0,7.3,3.6,9.1,33.4,36.4,29.0,16.3,33.3,35.8,7.5,19.1
16401,9.3,29.4,19.2,39.1,22.4,10.3,16.1,12.0,10.0,5.5,2.8,6.7,28.7,36.6,25.7,21.1,25.2,32.0,5.6,17.1
16403,9.1,30.6,25.5,39.4,21.0,7.8,17.6,12.4,11.5,5.6,2.9,7.3,29.9,36.7,26.6,17.0,29.3,32.1,6.5,16.6
16404,12.1,36.5,26.0,41.1,25.5,10.0,18.3,15.6,11.5,8.2,4.0,10.5,37.0,37.1,32.1,15.6,34.3,36.6,7.5,22.1
16406,12.0,37.5,24.5,39.9,22.9,8.8,16.8,14.9,11.0,8.5,4.1,10.0,36.1,36.0,31.1,15.2,35.5,37.1,8.4,20.8
16407,11.5,33.7,23.0,38.5,22.5,8.5,17.6,14.5,11.4,7.6,3.7,9.3,34.1,33.9,28.8,16.6,32.8,36.7,7.8,19.8
16410,9.6,29.7,21.8,37.0,20.1,7.0,16.3,12.2,10.7,6.0,2.9,7.3,28.4,33.0,24.3,18.6,29.7,34.9,6.9,15.8
16411,11.0,32.6,22.1,38.8,21.8,7.5,16.6,13.6,11.0,6.9,3.3,8.4,30.9,33.8,26.4,17.6,32.5,36.8,7.5,17.8
16412,7.9,25.5,22.9,33.6,15.0,5.8,17.3,10.4,11.1,4.9,2.4,5.8,26.5,31.1,20.6,19.2,25.2,31.5,6.1,13.2
16415,8.9,30.1,19.0,32.8,12.9,4.4,12.7,10.1,9.8,6.0,2.9,5.8,24.5,29.3,19.4,17.3,30.9,36.2,8.6,12.2
16417,10.9,32.2,22.3,38.1,21.2,7.4,16.7,13.5,11.1,6.9,3.4,8.4,31.1,33.2,26.5,17.1,32.2,36.5,7.5,17.9
16421,9.7,31.2,20.3,34.9,16.3,5.7,14.3,11.6,10.3,6.4,3.1,6.9,27.5,31.2,22.6,17.5,32.0,36.6,8.4,14.5
16422,9.6,32.7,23.6,37.8,18.3,6.3,15.5,11.9,10.5,6.4,3.0,7.2,28.8,34.8,24.2,17.2,31.0,34.6,7.3,15.4
16423,10.6,31.2,23.1,38.7,22.4,8.1,17.7,13.6,11.3,6.5,3.2,8.4,31.5,33.8,27.0,17.6,31.0,35.5,6.9,18.2
16424,12.1,38.4,23.5,39.3,21.1,7.7,15.5,14.2,10.6,8.5,4.0,9.6,34.3,35.3,29.2,14.9,36.6,38.5,8.9,19.3
16426,9.5,29.9,21.2,36.2,18.1,6.0,15.5,11.7,10.5,5.9,2.8,6.9,27.1,32.1,22.9,18.4,30.1,35.5,7.2,14.8
16427,9.6,29.4,22.9,36.1,19.7,7.3,17.5,12.5,11.2,6.3,3.0,7.6,30.0,32.7,25.1,18.4,29.3,34.7,6.9,16.4
16428,9.4,29.7,21.5,35.9,18.2,6.6,15.9,11.9,10.7,6.1,3.0,7.0,28.2,32.3,23.5,18.3,29.9,35.1,7.3,15.3
16433,9.3,32.7,23.0,37.1,18.5,6.7,15.1,11.8,10.2,6.5,3.1,7.3,29.3,34.8,24.9,17.3,31.2,34.5,7.7,15.5
16434,11.2,33.7,27.7,41.7,28.3,11.6,20.4,15.7,12.1,7.3,3.6,10.5,37.6,38.2,32.8,16.8,30.9,34.2,6.3,23.0
16435,11.1,34.5,25.8,41.0,24.7,9.1,18.1,14.5,11.3,7.2,3.5,9.4,34.3,37.2,30.2,16.5,32.4,35.2,6.9,20.2
16438,11.2,32.9,23.8,39.1,24.1,9.2,18.1,14.6,11.4,7.2,3.6,9.4,33.9,34.7,29.2,17.1,32.2,36.2,7.2,20.1
16440,9.0,31.7,23.2,37.5,18.2,6.1,14.8,11.3,10.2,5.9,2.8,6.8,26.9,34.8,23.2,17.9,30.4,34.3,7.2,14.4
16441,9.8,30.6,21.7,37.1,19.9,6.8,16.0,12.5,10.7,6.2,3.0,7.4,28.8,33.0,24.6,18.1,30.7,35.6,7.2,16.1
16442,9.7,29.9,22.1,37.1,20.7,7.2,16.4,12.5,10.9,6.0,3.0,7.5,28.8,33.2,24.5,18.6,30.0,35.3,6.9,16.3
16443,10.1,30.4,22.9,38.8,22.3,7.6,17.4,13.2,11.2,6.2,3.0,7.9,30.0,34.2,25.7,18.5,30.2,35.0,6.7,17.2
16501,23.7,46.0,25.4,46.8,33.2,16.2,23.1,24.5,14.1,14.2,7.5,19.1,52.3,37.8,45.4,12.1,41.1,42.6,8.2,38.6
16502,11.4,30.5,24.3,40.8,24.8,11.7,20.9,14.9,12.5,6.5,3.5,8.9,36.2,36.2,31.4,17.1,27.7,32.5,5.7,22.2
16503,16.6,37.0,24.5,48.2,34.3,18.4,24.2,19.5,14.2,7.8,4.6,11.9,45.2,41.9,42.1,14.3,30.2,34.0,4.9,33.0
16504,10.3,30.0,22.6,36.5,18.9,8.3,18.3,12.7,11.6,6.4,3.3,7.5,32.0,33.4,26.4,17.4,28.5,33.2,6.9,17.6
16505,9.9,31.8,19.8,34.1,15.0,5.6,13.7,11.4,10.2,6.6,3.2,6.8,27.6,30.2,22.1,16.6,32.4,36.9,8.8,14.4
16506,9.1,29.8,19.8,33.5,14.5,5.3,13.9,10.7,10.1,6.1,2.9,6.2,26.0,30.4,21.0,17.5,30.3,35.6,8.2,13.4
16507,11.6,29.7,24.8,40.6,24.4,12.2,22.7,14.7,13.1,6.2,3.4,8.5,37.3,36.9,31.8,17.0,25.3,30.8,4.9,22.9
16508,9.7,29.9,22.0,36.5,19.3,8.0,16.9,12.4,11.1,6.3,3.2,7.3,30.4,33.0,25.5,17.7,29.4,34.1,7.2,16.7
16509,9.9,31.3,20.3,34.4,15.7,5.8,14.5,11.5,10.3,6.7,3.2,6.9,28.1,30.8,22.7,17.0,31.5,36.3,8.4,14.7
16510,11.3,32.2,22.0,38.8,21.0,8.3,17.3,13.5,11.4,6.7,3.4,8.1,31.6,34.2,27.0,17.2,31.0,35.6,7.0,18.6
16511,10.8,32.4,21.4,36.5,18.9,8.0,16.3,13.1,11.1,7.0,3.5,8.1,31.7,32.4,26.3,16.4,32.3,36.4,8.2,17.7
