route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
1,0,1,Glenwood,,3,,0097C6,FFFFFF,1
3,0,3,Peach Street,,3,,11AA96,FFFFFF,2
4,0,4,Liberty Street,Liberty Mall,3,,00ADDC,FFFFFF,3
5,0,5,UPMC Hamot,Route 5 UPMC Hamot,3,,FFC107,000000,4
11,0,11,Harborcreek,,3,,5A00AF,FFFFFF,11
12,0,12,Albion,,3,,C00000,FFFFFF,12
14,0,14,Edinboro,Rt 14 Edinboro,3,,FF1919,FFFFFF,14
15,0,15,E 38th Street,East 38th Millcreek Mall,3,,B1C97E,000000,15
16,0,16,North East,,3,,7FD13B,FFFFFF,16
18,0,18,PSB Shuttle,,3,,FFC107,000000,18
19,0,19,Gannon,,3,,11AA96,FFFFFF,19
20,0,20A,Downtown Loop,Downtown Shuttle,3,,FF9800,FFFFFF,20
21,0,21,Lawrence Park,,3,,FF49AE,FFFFFF,25
22,0,22,Tacoma,10th tacoma,3,,00ADDC,FFFFFF,27
23,0,23,Belle Valley,parade e 38th,3,,E8A200,FFFFFF,28
24,0,24,McClelland,East 18th,3,,C00000,FFFFFF,29
25,0,25,Wesleyville,Rt 25 Wesleyville,3,,00B050,FFFFFF,30
26,0,26,E 26th Street,e 26th behrend,3,,7030A0,FFFFFF,32
27,0,27,State Street,V A hospital,3,,BD79AD,FFFFFF,33
28,0,28,Erie Heights,w. 32-w 29 caughey,3,,52A40E,FFFFFF,34
29,0,29,Asbury,West 18th - West 26th,3,,BB7500,FFFFFF,36
30,0,30,West Millcreek,w 10th legion,3,,FF0000,FFFFFF,39
31,0,31,Frontier,31 w 4th via 12,3,,005382,FFFFFF,40
32,0,32,Westlake,w 4th via 8th,3,,00995E,FFFFFF,41
63,0,20L,Cultural Loop,,3,,2CB701,FFFFFF,24
105,0,105,Corry Loop,,3,,11AA96,FFFFFF,105
229,0,229,Fairview,,3,,1634DD,FFFFFF,229
260,0,260,East County - INF,,3,,9E6520,FFFFFF,260
261,0,261,West County - BPS,,3,,9E6627,FFFFFF,261
