stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,daily_visits,first_service,last_service
100,100,Yorktown Center,,42.1020889282,-80.135429,,,0,,0,101,5:36 AM,11:57 PM
101,101,W 12th St at Selinger Ave,,42.1025314331,-80.138481,,,0,,0,101,5:19 AM,11:44 PM
1016,1016,W 12th St at Powell Ave,,42.0919075012,-80.167282,,,0,,0,43,6:03 AM,11:43 PM
102,102,W 12th St at Lowell Ave,,42.1015739441,-80.141052,,,0,,0,101,5:20 AM,11:45 PM
1024,1024,W Lake Rd at Westwood Dr,,42.0773391724,-80.19677,,,0,,0,38,7:39 AM,8:34 PM
1026,1026,W Lake Rd at Garloch Dr,,42.0765113831,-80.203178,,,0,,0,38,7:38 AM,8:33 PM
103,103,W 12th St at Filmore Ave,,42.1009368896,-80.142784,,,0,,0,101,5:20 AM,11:45 PM
1032,1032,W 12th St at Grant Ave,,42.0888175964,-80.175606,,,0,,0,43,6:06 AM,11:45 PM
1033,1033,W 12th St at Ford Ave,,42.0880088806,-80.177773,,,0,,0,43,6:07 AM,11:46 PM
1034,1034,W 12th St at Guetner Ave,,42.0865287781,-80.180222,,,0,,0,43,6:08 AM,11:47 PM
104,104,W 12th St at Hilborn Ave,,42.1005020142,-80.143951,,,0,,0,101,5:21 AM,11:46 PM
105,105,Peninsula at W 15th St,,42.0972671509,-80.144112,,,0,,0,58,5:21 AM,11:46 PM
1051,1051,W 12th St at Shenk Ave,,42.0881309509,-80.176765,,,0,,0,28,6:11 AM,11:52 PM
1052,1052,W 12th St at Hartt Rd,,42.0892906189,-80.173599,,,0,,0,28,6:12 AM,11:53 PM
1053,1053,W 12th St at Ardmore Ave,,42.0903244019,-80.170799,,,0,,0,28,6:13 AM,11:54 PM
1054,1054,W 12th St at Chelsea Ave,,42.0910453796,-80.168907,,,0,,0,28,6:13 AM,11:55 PM
1055,1055,W 12th St at Powell Ave,,42.0915870667,-80.16745,,,0,,0,28,6:14 AM,11:56 PM
1056,1056,W 12th St at Linden Ave,,42.0934066772,-80.162483,,,0,,0,28,6:15 AM,11:57 PM
1057,1057,W 12th St at Marshall Dr,,42.0948066711,-80.158714,,,0,,0,28,6:15 AM,11:57 PM
1058,1058,W 12th St at Idaho Ave,,42.0955314636,-80.156784,,,0,,0,28,6:16 AM,11:58 PM
1059,1059,W 12th St at Harper Rd,,42.0980873108,-80.149879,,,0,,0,28,6:17 AM,11:59 PM
106,106,Peninsula at W 17th Sreet,,42.095916748,-80.143196,,,0,,0,58,5:22 AM,11:47 PM
1062,1062,W 6th St at Colorado Dr,,42.1114196777,-80.133766,,,0,,0,63,6:25 AM,12:07 PM
1063,1063,W 6th St at Beverly Dr,,42.1122512817,-80.131538,,,0,,0,63,6:25 AM,12:07 PM
1064,1064,W 6th St at Maryland Ave,,42.1131324768,-80.129311,,,0,,0,63,6:26 AM,12:08 PM
1065,1065,W 6th St at Delaware Ave,,42.1138687134,-80.127335,,,0,,0,63,6:26 AM,12:08 PM
1066,1066,W 6th St at Kahkwa Blvd,,42.1145935059,-80.125427,,,0,,0,63,6:27 AM,12:09 PM
