tract_code,year,food_insecurity_rate,food_insecure_persons,unemployment_rate,percent_black,percent_hispanic,homeownership_rate,disability_rate
110100,2020,14.4,890.0,8.5,0.8,0.6,81.3,16.0
110100,2021,14.6,910.0,9.2,0.6,0.9,80.9,16.7
110100,2022,18.4,1150.0,10.3,0.4,1.0,80.4,14.3
110100,2023,17.3,1080.0,8.8,0.6,1.6,80.9,13.3
110201,2020,6.5,240.0,6.4,2.0,1.5,87.4,11.9
110201,2021,6.4,240.0,6.6,2.8,1.4,89.3,11.4
110201,2022,9.6,350.0,5.2,2.3,1.4,88.5,12.0
110201,2023,10.4,380.0,5.1,2.3,1.4,88.7,11.8
110202,2020,9.3,430.0,4.1,5.6,3.5,69.7,14.1
110202,2021,11.1,480.0,6.8,5.4,3.7,71.2,14.9
110202,2022,13.8,600.0,4.9,4.2,3.3,74.4,14.9
110202,2023,14.7,630.0,5.2,4.5,3.9,75.6,16.9
110300,2020,13.0,570.0,8.4,2.3,0.9,77.3,17.2
110300,2021,13.1,580.0,8.7,1.9,0.9,78.1,16.2
110300,2022,16.1,720.0,7.7,1.9,1.7,78.2,17.5
110300,2023,17.2,760.0,6.6,1.4,2.1,76.5,17.9
110400,2020,10.7,290.0,5.3,0.8,1.6,79.5,17.6
110400,2021,12.7,340.0,7.3,1.0,2.5,79.4,19.4
110400,2022,14.0,360.0,6.3,1.3,3.1,77.4,18.0
110400,2023,13.0,330.0,5.4,1.5,2.4,78.8,16.0
110501,2020,6.0,130.0,2.0,0.0,2.2,87.9,17.1
110501,2021,6.1,130.0,2.9,0.0,2.3,87.9,16.9
110501,2022,10.6,220.0,4.3,0.2,3.0,83.6,17.0
110501,2023,11.8,230.0,6.3,0.4,3.0,82.4,13.5
110502,2020,8.4,270.0,3.9,0.4,0.8,81.5,17.0
110502,2021,9.7,280.0,5.8,0.3,1.1,85.0,19.2
110502,2022,12.8,360.0,3.7,0.4,1.4,79.6,18.2
110502,2023,14.6,400.0,4.7,0.1,1.8,76.4,19.8
110600,2020,4.8,140.0,2.1,1.0,1.1,91.6,15.9
110600,2021,5.3,150.0,2.1,1.2,1.0,93.5,16.9
110600,2022,7.9,220.0,1.0,1.0,1.1,93.2,16.5
110600,2023,9.1,250.0,1.0,0.8,0.4,93.9,16.0
110700,2020,6.8,280.0,3.4,1.1,1.3,74.3,13.2
110700,2021,8.5,340.0,5.4,1.9,1.9,76.1,14.5
110700,2022,12.1,470.0,5.1,2.3,1.8,77.2,14.9
110700,2023,12.6,480.0,5.7,2.3,2.3,78.7,12.8
110800,2020,8.0,370.0,4.8,1.3,0.9,88.2,14.0
110800,2021,8.4,400.0,5.1,1.9,0.9,88.5,14.7
110800,2022,11.4,550.0,3.7,2.2,1.2,88.6,14.4
