county_name,median_household_income,zip code tabulation area
ZCTA5 00601,17526,00601
ZCTA5 00602,20260,00602
ZCTA5 00603,17703,00603
ZCTA5 00606,19603,00606
ZCTA5 00610,22796,00610
ZCTA5 00611,22525,00611
ZCTA5 00612,22305,00612
ZCTA5 00616,23652,00616
ZCTA5 00617,20328,00617
ZCTA5 00622,22818,00622
ZCTA5 00623,23132,00623
ZCTA5 00624,20101,00624
ZCTA5 00627,23263,00627
ZCTA5 00631,15658,00631
ZCTA5 00636,-666666666,00636
ZCTA5 00637,20568,00637
ZCTA5 00638,19796,00638
ZCTA5 00641,17673,00641
ZCTA5 00646,31330,00646
ZCTA5 00647,17143,00647
ZCTA5 00650,20363,00650
ZCTA5 00652,26148,00652
ZCTA5 00653,13777,00653
ZCTA5 00656,21456,00656
ZCTA5 00659,23899,00659
ZCTA5 00660,22556,00660
ZCTA5 00662,20283,00662
ZCTA5 00664,17966,00664
ZCTA5 00667,16889,00667
ZCTA5 00669,18838,00669
ZCTA5 00670,16644,00670
ZCTA5 00674,20088,00674
ZCTA5 00676,20160,00676
ZCTA5 00677,26404,00677
ZCTA5 00678,19558,00678
ZCTA5 00680,16535,00680
ZCTA5 00682,17385,00682
ZCTA5 00683,18132,00683
ZCTA5 00685,17481,00685
ZCTA5 00687,22282,00687
ZCTA5 00688,17273,00688
ZCTA5 00690,23343,00690
ZCTA5 00692,25289,00692
ZCTA5 00693,23791,00693
ZCTA5 00694,-666666666,00694
ZCTA5 00698,19818,00698
ZCTA5 00703,23045,00703
ZCTA5 00704,19845,00704
ZCTA5 00705,22679,00705
ZCTA5 00707,21765,00707
ZCTA5 00714,18496,00714
ZCTA5 00715,16250,00715
ZCTA5 00716,20184,00716
ZCTA5 00717,14164,00717
ZCTA5 00718,20414,00718
ZCTA5 00719,20533,00719
ZCTA5 00720,16751,00720
ZCTA5 00723,20967,00723
ZCTA5 00725,25786,00725
ZCTA5 00727,33678,00727
ZCTA5 00728,21239,00728
ZCTA5 00729,26978,00729
ZCTA5 00730,17517,00730
ZCTA5 00731,16944,00731
ZCTA5 00735,23125,00735
ZCTA5 00736,27158,00736
ZCTA5 00738,24643,00738
ZCTA5 00739,24887,00739
ZCTA5 00740,18784,00740
ZCTA5 00741,23821,00741
ZCTA5 00745,26189,00745
ZCTA5 00751,20241,00751
ZCTA5 00754,19528,00754
ZCTA5 00757,22764,00757
ZCTA5 00765,17062,00765
ZCTA5 00766,22511,00766
ZCTA5 00767,20126,00767
ZCTA5 00769,20236,00769
ZCTA5 00771,23343,00771
ZCTA5 00772,17209,00772
ZCTA5 00773,22585,00773
ZCTA5 00775,25483,00775
ZCTA5 00777,26052,00777
ZCTA5 00778,39484,00778
ZCTA5 00780,26075,00780
ZCTA5 00782,16221,00782
ZCTA5 00783,21701,00783
ZCTA5 00784,19199,00784
ZCTA5 00786,-666666666,00786
ZCTA5 00791,26002,00791
ZCTA5 00794,21278,00794
ZCTA5 00795,22579,00795
ZCTA5 00901,27926,00901
ZCTA5 00906,-666666666,00906
ZCTA5 00907,40293,00907
ZCTA5 00909,25778,00909
ZCTA5 00911,38125,00911
ZCTA5 00912,27026,00912
ZCTA5 00913,6449,00913
ZCTA5 00915,12963,00915
ZCTA5 00917,17086,00917
ZCTA5 00918,35000,00918
ZCTA5 00920,28562,00920
ZCTA5 00921,21419,00921
ZCTA5 00923,18389,00923
ZCTA5 00924,21046,00924
ZCTA5 00925,13016,00925
ZCTA5 00926,38432,00926
ZCTA5 00927,40213,00927
ZCTA5 00934,-666666666,00934
ZCTA5 00949,31500,00949
ZCTA5 00950,-666666666,00950
ZCTA5 00951,21354,00951
ZCTA5 00952,19392,00952
ZCTA5 00953,32957,00953
ZCTA5 00956,27243,00956
ZCTA5 00957,28240,00957
ZCTA5 00959,31603,00959
ZCTA5 00960,-666666666,00960
ZCTA5 00961,34141,00961
ZCTA5 00962,18478,00962
ZCTA5 00965,15872,00965
ZCTA5 00966,51732,00966
ZCTA5 00968,55132,00968
ZCTA5 00969,55929,00969
ZCTA5 00971,31484,00971
ZCTA5 00976,35661,00976
ZCTA5 00979,34705,00979
ZCTA5 00982,24244,00982
ZCTA5 00983,30595,00983
ZCTA5 00985,33270,00985
ZCTA5 00987,36396,00987
ZCTA5 01001,73398,01001
ZCTA5 01002,74265,01002
ZCTA5 01003,-666666666,01003
ZCTA5 01005,97409,01005
ZCTA5 01007,99500,01007
ZCTA5 01008,93405,01008
ZCTA5 01009,68510,01009
ZCTA5 01010,88438,01010
ZCTA5 01011,80640,01011
ZCTA5 01012,73906,01012
ZCTA5 01013,62000,01013
ZCTA5 01020,67617,01020
ZCTA5 01022,52207,01022
ZCTA5 01026,83875,01026
ZCTA5 01027,69337,01027
ZCTA5 01028,100610,01028
ZCTA5 01029,93125,01029
ZCTA5 01030,87324,01030
ZCTA5 01031,51250,01031
ZCTA5 01032,88077,01032
ZCTA5 01033,102248,01033
ZCTA5 01034,104583,01034
ZCTA5 01035,112450,01035
ZCTA5 01036,110320,01036
ZCTA5 01037,78047,01037
ZCTA5 01038,103125,01038
ZCTA5 01039,109167,01039
ZCTA5 01040,49007,01040
ZCTA5 01050,84333,01050
ZCTA5 01053,60875,01053
ZCTA5 01054,105833,01054
ZCTA5 01056,76395,01056
ZCTA5 01057,85614,01057
ZCTA5 01060,79604,01060
ZCTA5 01062,87409,01062
ZCTA5 01063,-666666666,01063
ZCTA5 01066,20202,01066
