tract_name,median_household_income,state_fips,county_fips,tract_code,year
"Census Tract 103.04, Erie County, Pennsylvania",100167,42,049,010304,2019
"Census Tract 105, Erie County, Pennsylvania",52928,42,049,010500,2019
"Census Tract 109.03, Erie County, Pennsylvania",71507,42,049,010903,2019
"Census Tract 110.02, Erie County, Pennsylvania",41475,42,049,011002,2019
"Census Tract 111.01, Erie County, Pennsylvania",72824,42,049,011101,2019
"Census Tract 118.01, Erie County, Pennsylvania",64010,42,049,011801,2019
"Census Tract 11, Erie County, Pennsylvania",45000,42,049,001100,2019
"Census Tract 25, Erie County, Pennsylvania",33977,42,049,002500,2019
"Census Tract 27, Erie County, Pennsylvania",48850,42,049,002700,2019
"Census Tract 102.02, Erie County, Pennsylvania",49643,42,049,010202,2019
"Census Tract 103.01, Erie County, Pennsylvania",74750,42,049,010301,2019
"Census Tract 115.07, Erie County, Pennsylvania",79697,42,049,011507,2019
"Census Tract 116, Erie County, Pennsylvania",50014,42,049,011600,2019
"Census Tract 122.01, Erie County, Pennsylvania",74955,42,049,012201,2019
"Census Tract 102.01, Erie County, Pennsylvania",51750,42,049,010201,2019
"Census Tract 15, Erie County, Pennsylvania",24861,42,049,001500,2019
"Census Tract 16, Erie County, Pennsylvania",48239,42,049,001600,2019
"Census Tract 23, Erie County, Pennsylvania",41776,42,049,002300,2019
"Census Tract 104, Erie County, Pennsylvania",65018,42,049,010400,2019
"Census Tract 109.02, Erie County, Pennsylvania",65125,42,049,010902,2019
"Census Tract 112.01, Erie County, Pennsylvania",72801,42,049,011201,2019
"Census Tract 17, Erie County, Pennsylvania",31956,42,049,001700,2019
"Census Tract 21, Erie County, Pennsylvania",52972,42,049,002100,2019
"Census Tract 26, Erie County, Pennsylvania",36961,42,049,002600,2019
"Census Tract 107, Erie County, Pennsylvania",53641,42,049,010700,2019
"Census Tract 109.04, Erie County, Pennsylvania",122731,42,049,010904,2019
"Census Tract 113, Erie County, Pennsylvania",42614,42,049,011300,2019
"Census Tract 115.03, Erie County, Pennsylvania",53056,42,049,011503,2019
"Census Tract 117.01, Erie County, Pennsylvania",68934,42,049,011701,2019
"Census Tract 120.02, Erie County, Pennsylvania",48026,42,049,012002,2019
"Census Tract 8, Erie County, Pennsylvania",19033,42,049,000800,2019
"Census Tract 22, Erie County, Pennsylvania",59219,42,049,002200,2019
"Census Tract 101.01, Erie County, Pennsylvania",54814,42,049,010101,2019
"Census Tract 103.03, Erie County, Pennsylvania",86972,42,049,010303,2019
"Census Tract 110.01, Erie County, Pennsylvania",59515,42,049,011001,2019
"Census Tract 120.01, Erie County, Pennsylvania",57888,42,049,012001,2019
"Census Tract 6, Erie County, Pennsylvania",25287,42,049,000600,2019
"Census Tract 24, Erie County, Pennsylvania",43897,42,049,002400,2019
"Census Tract 7, Erie County, Pennsylvania",21791,42,049,000700,2019
"Census Tract 118.02, Erie County, Pennsylvania",58307,42,049,011802,2019
"Census Tract 123, Erie County, Pennsylvania",51508,42,049,012300,2019
"Census Tract 124, Erie County, Pennsylvania",44643,42,049,012400,2019
"Census Tract 9801.09, Erie County, Pennsylvania",,42,049,980109,2019
"Census Tract 2, Erie County, Pennsylvania",60797,42,049,000200,2019
"Census Tract 4, Erie County, Pennsylvania",40664,42,049,000400,2019
"Census Tract 19, Erie County, Pennsylvania",19894,42,049,001900,2019
"Census Tract 20, Erie County, Pennsylvania",48906,42,049,002000,2019
"Census Tract 28, Erie County, Pennsylvania",47417,42,049,002800,2019
"Census Tract 101.03, Erie County, Pennsylvania",56607,42,049,010103,2019
