geoid,county,year,NAME,total_households,under_10k,10k_15k,15k_20k,20k_25k,25k_30k,30k_35k,35k_40k,40k_45k,45k_50k,50k_60k,60k_75k,75k_100k,100k_125k,125k_150k,150k_200k,200k_plus
42039110100,Crawford,2019,"Census Tract 1101, Crawford County, Pennsylvania",2087,131,109,104,139,174,136,135,131,91,204,240,253,118,39,42,41
42039110100,Crawford,2020,"Census Tract 1101, Crawford County, Pennsylvania",2064,157,97,130,146,145,137,81,118,90,206,280,220,134,42,41,40
42039110100,Crawford,2021,"Census Tract 1101, Crawford County, Pennsylvania",1972,144,80,114,128,140,85,109,90,109,198,268,217,122,80,49,39
42039110100,Crawford,2022,Census Tract 1101; Crawford County; Pennsylvania,2011,131,80,95,132,115,123,102,80,88,148,287,283,141,99,70,37
42039110100,Crawford,2023,Census Tract 1101; Crawford County; Pennsylvania,2068,87,115,82,87,142,135,109,87,70,159,291,312,126,136,83,47
42039110201,Crawford,2019,"Census Tract 1102.01, Crawford County, Pennsylvania",1556,39,43,72,53,74,86,97,68,66,155,181,272,164,69,56,61
42039110201,Crawford,2020,"Census Tract 1102.01, Crawford County, Pennsylvania",1542,21,53,59,70,69,86,95,76,48,160,184,240,152,77,98,54
42039110201,Crawford,2021,"Census Tract 1102.01, Crawford County, Pennsylvania",1440,19,39,40,80,61,74,63,83,50,120,187,227,155,90,105,47
42039110201,Crawford,2022,Census Tract 1102.01; Crawford County; Pennsylvania,1443,23,26,47,53,85,88,16,90,70,90,187,232,168,83,143,42
42039110201,Crawford,2023,Census Tract 1102.01; Crawford County; Pennsylvania,1456,33,34,45,50,84,78,35,55,73,84,161,239,176,104,160,45
42039110202,Crawford,2019,"Census Tract 1102.02, Crawford County, Pennsylvania",1521,107,97,59,106,61,67,115,87,51,154,136,202,161,35,54,29
42039110202,Crawford,2020,"Census Tract 1102.02, Crawford County, Pennsylvania",1560,94,120,74,67,84,61,113,71,51,154,192,157,176,50,48,48
42039110202,Crawford,2021,"Census Tract 1102.02, Crawford County, Pennsylvania",1345,81,118,78,58,70,52,51,58,34,49,212,161,141,73,60,49
42039110202,Crawford,2022,Census Tract 1102.02; Crawford County; Pennsylvania,1340,57,113,93,42,56,48,45,70,41,72,185,169,108,120,59,62
42039110202,Crawford,2023,Census Tract 1102.02; Crawford County; Pennsylvania,1369,60,88,109,23,68,49,50,59,58,59,171,203,120,120,69,63
42039110300,Crawford,2019,"Census Tract 1103, Crawford County, Pennsylvania",1685,81,89,138,72,89,52,92,124,83,183,205,254,111,43,52,17
42039110300,Crawford,2020,"Census Tract 1103, Crawford County, Pennsylvania",1742,83,99,124,113,85,45,89,129,78,238,202,240,117,36,48,16
42039110300,Crawford,2021,"Census Tract 1103, Crawford County, Pennsylvania",1684,60,72,136,121,41,52,66,121,84,210,205,253,130,41,62,30
42039110300,Crawford,2022,Census Tract 1103; Crawford County; Pennsylvania,1717,65,88,116,120,68,50,39,86,119,168,204,289,149,44,55,57
42039110300,Crawford,2023,Census Tract 1103; Crawford County; Pennsylvania,1741,82,90,117,111,92,40,41,45,127,171,206,256,174,61,50,78
42039110400,Crawford,2019,"Census Tract 1104, Crawford County, Pennsylvania",1224,87,95,75,108,77,86,74,25,45,84,135,153,65,37,43,35
42039110400,Crawford,2020,"Census Tract 1104, Crawford County, Pennsylvania",1186,67,83,55,91,74,117,48,23,56,96,147,161,53,27,41,47
42039110400,Crawford,2021,"Census Tract 1104, Crawford County, Pennsylvania",1110,68,82,43,81,47,88,71,44,52,71,147,120,83,32,39,42
42039110400,Crawford,2022,Census Tract 1104; Crawford County; Pennsylvania,1095,47,46,73,74,61,93,61,55,25,97,141,136,41,54,52,39
42039110400,Crawford,2023,Census Tract 1104; Crawford County; Pennsylvania,1111,47,45,52,81,57,46,55,51,39,108,154,134,95,45,61,41
42039110501,Crawford,2019,"Census Tract 1105.01, Crawford County, Pennsylvania",772,38,14,28,44,25,40,19,28,21,79,135,121,57,56,30,37
42039110501,Crawford,2020,"Census Tract 1105.01, Crawford County, Pennsylvania",800,38,21,39,45,43,20,22,33,20,89,111,198,48,38,10,25
42039110501,Crawford,2021,"Census Tract 1105.01, Crawford County, Pennsylvania",749,16,15,42,21,26,21,13,55,33,83,89,155,98,31,28,23
42039110501,Crawford,2022,Census Tract 1105.01; Crawford County; Pennsylvania,749,6,28,31,15,25,40,24,26,45,71,93,161,89,57,19,19
42039110501,Crawford,2023,Census Tract 1105.01; Crawford County; Pennsylvania,761,13,29,5,27,44,49,41,24,50,66,103,133,80,64,21,12
42039110502,Crawford,2019,"Census Tract 1105.02, Crawford County, Pennsylvania",1725,127,45,62,94,87,93,42,78,55,182,166,285,188,78,96,47
42039110502,Crawford,2020,"Census Tract 1105.02, Crawford County, Pennsylvania",1555,110,28,80,129,57,78,61,72,26,169,194,244,138,73,60,36
42039110502,Crawford,2021,"Census Tract 1105.02, Crawford County, Pennsylvania",1389,111,23,66,96,73,56,59,63,37,101,206,264,97,45,56,36
42039110502,Crawford,2022,Census Tract 1105.02; Crawford County; Pennsylvania,1414,94,57,54,60,76,94,38,58,49,131,116,260,120,56,51,100
42039110502,Crawford,2023,Census Tract 1105.02; Crawford County; Pennsylvania,1434,77,38,83,72,88,66,53,65,56,124,79,268,142,45,60,118
42039110600,Crawford,2019,"Census Tract 1106, Crawford County, Pennsylvania",1223,33,33,36,49,56,55,56,77,21,116,183,220,96,99,54,39
42039110600,Crawford,2020,"Census Tract 1106, Crawford County, Pennsylvania",1300,60,27,30,35,49,62,29,39,12,251,154,274,119,59,74,26
42039110600,Crawford,2021,"Census Tract 1106, Crawford County, Pennsylvania",1238,55,25,51,21,59,61,32,38,5,154,247,204,129,38,94,25
42039110600,Crawford,2022,Census Tract 1106; Crawford County; Pennsylvania,1200,48,19,25,29,55,18,87,5,36,37,315,99,226,58,112,31
42039110600,Crawford,2023,Census Tract 1106; Crawford County; Pennsylvania,1227,84,29,19,24,8,44,78,10,39,41,247,134,209,118,124,19
42039110700,Crawford,2019,"Census Tract 1107, Crawford County, Pennsylvania",1606,40,53,62,82,103,102,86,162,61,125,194,219,103,72,96,46
42039110700,Crawford,2020,"Census Tract 1107, Crawford County, Pennsylvania",1543,23,39,58,93,69,129,65,224,46,91,204,230,113,53,59,47
