name,address,primary_category,type,subtype,food_tier,lat,lon,color_r,color_g,color_b,osm_id,osm_type,osm_shop,osm_amenity,brand,opening_hours,website,phone,geocode_source
BayIt Edinboro Community Center,"103, Brora Drive, Edinboro, PA, 16412",Civic & Social,Community Center,Community/Rec Center,,41.8665633,-80.1185005,168,85,247,13190620157,node,,community_centre,,,,,openstreetmap
Bethesda Trinity Center,"462, West 18th Street, Erie, PA, 16502",Civic & Social,Community Center,Community/Rec Center,,42.1147615,-80.0887007,168,85,247,8521270523,node,,community_centre,,,,,openstreetmap
CO-OP Community Center,"1341, West 26th Street, Erie, PA, 16508",Civic & Social,Community Center,Community/Rec Center,,42.1012374,-80.101734,168,85,247,8528974114,node,,community_centre,,,,,openstreetmap
Campus Community Center,,Civic & Social,Community Center,Community/Rec Center,,41.6626772,-80.1408762,168,85,247,8766483560,node,,community_centre,,,,,openstreetmap
Erie County Community Resource Center,"344A, Erie Central Mall, Erie, PA, 16501",Civic & Social,Community Center,Community/Rec Center,,42.1186355,-80.0815459,168,85,247,10181813292,node,,community_centre,,,,,openstreetmap
John E. Horan Community Center,"730, Tacoma Road, Erie, PA, 16511",Civic & Social,Community Center,Community/Rec Center,,42.1437622,-80.0375546,168,85,247,8553884325,node,,community_centre,,,,,openstreetmap
John F. Kennedy Center,"2021, East 20th Street, Erie, PA, 16510",Civic & Social,Community Center,Community/Rec Center,,42.1334354,-80.031858,168,85,247,7564096350,node,,community_centre,,,,,openstreetmap
Kerrtown Community Park,,Civic & Social,Community Center,Community/Rec Center,,41.630678,-80.1612679,168,85,247,1115861585,way,,community_centre,,,,,openstreetmap
Neighborhood Partnership Center,"254, East 10th Street, Erie, PA, 16503",Civic & Social,Community Center,Community/Rec Center,,42.1279254,-80.0771481,168,85,247,9410242229,node,,community_centre,,,,,openstreetmap
Northwestern Community Youth Center,"30, East State Street, Albion, PA, 16401",Civic & Social,Community Center,Community/Rec Center,,41.8911217,-80.3654943,168,85,247,1062485630,way,,community_centre,,,,,openstreetmap
Old Grange,,Civic & Social,Community Center,Community/Rec Center,,41.7030207,-79.7462597,168,85,247,1167346144,way,,community_centre,,,,,openstreetmap
Saint Joseph's Community Center,"139, West 24th Street, Erie, PA, 16502",Civic & Social,Community Center,Community/Rec Center,,42.1124016,-80.0772109,168,85,247,9440931627,node,,community_centre,,,,,openstreetmap
Spartansburg Community Building,,Civic & Social,Community Center,Community/Rec Center,,41.8239707,-79.6893175,168,85,247,1127367161,way,,community_centre,,,,,openstreetmap
The Summit,"8160, Oliver Road, Erie, PA, 16509",Civic & Social,Community Center,Community/Rec Center,,42.0441148,-80.0872726,168,85,247,7545908470,node,,community_centre,,,,,openstreetmap
Union City Senior Center,,Civic & Social,Community Center,Community/Rec Center,,41.8922425,-79.8447771,168,85,247,1097054667,way,,community_centre,,,,,openstreetmap
University Gate Community Center,"5086, Station Road, Erie, PA, 16510",Civic & Social,Community Center,Community/Rec Center,,42.124265,-79.9807852,168,85,247,7977405031,node,,community_centre,,,,,openstreetmap
Women's Care Center Education Division,"915, State Street, Erie, PA, 16501",Civic & Social,Community Center,Community/Rec Center,,42.1262498,-80.0827196,168,85,247,7715103801,node,,community_centre,,,,,openstreetmap
Youth Leadership Institute of Erie,"1306, East Lake Road, Erie, PA, 16507",Civic & Social,Community Center,Community/Rec Center,,42.1402607,-80.057783,168,85,247,7913377970,node,,community_centre,,,,,openstreetmap
A. F. Dobler Hose & Ladder,"37, Walnut Street, Girard, PA, 16417",Civic & Social,Emergency Services,Fire Station,,42.0006434,-80.314254,168,85,247,8262536903,node,,fire_station,,,,,openstreetmap
Albion Volunteer Fire Department,"19, Smock Avenue, Albion, PA, 16401",Civic & Social,Emergency Services,Fire Station,,41.8913858,-80.3646504,168,85,247,1062485620,way,,fire_station,,,https://www.albionvfd.org/home,,openstreetmap
Bloomfield Dept. 1 Fire and EMS Station,,Civic & Social,Emergency Services,Fire Station,,41.7981817,-79.8414668,168,85,247,1132788871,way,,fire_station,,,,,openstreetmap
Brookside Fire Department,"3560, Athens Street, Erie, PA, 16510",Civic & Social,Emergency Services,Fire Station,,42.1324454,-79.9967198,168,85,247,7964361946,node,,fire_station,,,,,openstreetmap
Cambridge Springs Police Department,"161, Carringer Street, Cambridge Springs, PA, 16403",Civic & Social,Emergency Services,Police Station,,41.8047208,-80.0608154,168,85,247,8174270817,node,,police,,,,,openstreetmap
