name,address,primary_category,type,subtype,food_tier,lat,lon,color_r,color_g,color_b,osm_id,osm_type,osm_shop,osm_amenity,brand,opening_hours,website,phone,geocode_source
Big Lots,"2215, West 12th Street, Erie, PA, 16505",Food & Grocery,Big Box,Big Box Retail,bigbox,42.1032174,-80.1310797,34,197,94,12943314389,node,department_store,,Big Lots,,,,openstreetmap
Big Lots,"820, Water Street, Meadville, PA, 16335",Food & Grocery,Big Box,Big Box Retail,bigbox,41.6381173,-80.1558975,34,197,94,1144218954,way,department_store,,Big Lots,Mo-Sa 09:00-21:00; Su 10:00-21:00,https://local.biglots.com/pa/meadville/820-water-st,+1 814-333-2515,openstreetmap
Boscov's,"800, Millcreek Mall Boulevard, Erie, PA, 16565",Food & Grocery,Big Box,Big Box Retail,,42.0676751,-80.0961896,34,197,94,7571663171,node,department_store,,Boscov's,,,,openstreetmap
Burlington,"1900, Keystone Drive, Erie, PA, 16509",Food & Grocery,Big Box,Big Box Retail,,42.0568727,-80.0821031,34,197,94,7571240517,node,department_store,,Burlington,Mo-Th 09:00-22:00; Fr-Sa 09:00-23:00; Su 09:00-22:00,https://stores.burlington.com/pa/erie/284,+1 814-864-3192,openstreetmap
JCPenney,"840, Millcreek Mall Boulevard, Erie, PA, 16565",Food & Grocery,Big Box,Big Box Retail,,42.0707272,-80.098598,34,197,94,4635131700,node,department_store,,JCPenney,,,,openstreetmap
Kohl's,"1906, Keystone Drive, Erie, PA, 16509",Food & Grocery,Big Box,Big Box Retail,,42.0579023,-80.0829778,34,197,94,10723375130,node,department_store,,Kohl's,Mo-Sa 09:00-22:00; Su 09:00-21:00,https://www.kohls.com/stores/pa/erie-221.shtml,+1 814-864-7856,openstreetmap
Kraus Department Store,"810, Parade Street, Erie, PA, 16503",Food & Grocery,Big Box,Big Box Retail,,42.1301494,-80.0754527,34,197,94,7804604061,node,department_store,,,,,,openstreetmap
Macy's,"850, Millcreek Mall Boulevard, Erie, PA, 16565",Food & Grocery,Big Box,Big Box Retail,,42.0694236,-80.0975309,34,197,94,7571663172,node,department_store,,Macy's,,https://www.macys.com/stores/pa/erie/millcreek-mall-complex_624.html,,openstreetmap
Marshalls,"6710, Peach Street, Erie, PA, 16509",Food & Grocery,Big Box,Big Box Retail,,42.0551119,-80.092779,34,197,94,7571606774,node,department_store,,Marshalls,,,,openstreetmap
NTL Warehouse,"1710, Greengarden Boulevard, Erie, PA, 16501",Food & Grocery,Big Box,Wholesale,,42.1050806,-80.114282,34,197,94,8698039686,node,wholesale,,,,,,openstreetmap
RIDG-U-RAK,"120, South Lake Street, North East, PA, 16428",Food & Grocery,Big Box,Wholesale,,42.2113443,-79.8347549,34,197,94,8761189702,node,wholesale,,,,,,openstreetmap
Roberts Warehousing,"5501, Station Road, North East, PA, 16428",Food & Grocery,Big Box,Wholesale,,42.1913164,-79.8337608,34,197,94,8402389325,node,wholesale,,,,,,openstreetmap
Ross,"2088, Interchange Road, Erie, PA, 16565",Food & Grocery,Big Box,Big Box Retail,,42.0665231,-80.1038755,34,197,94,7624280308,node,department_store,,Ross,Mo-Th 10:00-21:30; Fr-Sa 09:30-22:00; Su 10:00-21:00,,+1 814-868-2705,openstreetmap
Sam's Club,"200, Summit Towne Center, Erie, PA, 16509",Food & Grocery,Big Box,Wholesale,,42.0510204,-80.0935065,34,197,94,7570776289,node,wholesale,,Sam's Club,Mo-Fr 10:00-20:00; Sa 09:00-20:00; Su 10:00-18:00,https://www.samsclub.com/club/erie-pa-sams-club/6675,+1 814-866-1074,openstreetmap
TJ Maxx,"2070, Interchange Road, Erie, PA, 16565",Food & Grocery,Big Box,Big Box Retail,,42.0650597,-80.1007579,34,197,94,7508284881,node,department_store,,TJ Maxx,,,,openstreetmap
TJ Maxx,,Food & Grocery,Big Box,Big Box Retail,,41.6227432,-80.1987856,34,197,94,11063445576,node,department_store,,TJ Maxx,,,,openstreetmap
Target,"6700, Peach Street, Erie, PA, 16509",Food & Grocery,Big Box,Big Box Retail,bigbox,42.0549181,-80.0949164,34,197,94,7571609483,node,department_store,,Target,08:00-22:00,https://www.target.com/sl/erie/1287,+1 814-860-8511,openstreetmap
The Steel Store,,Food & Grocery,Big Box,Wholesale,,41.6449269,-80.1567762,34,197,94,10174421386,node,wholesale,,,,,,openstreetmap
Tripifoods,"1418, East 12th Street, Erie, PA, 16503",Food & Grocery,Big Box,Wholesale,,42.1348281,-80.0505124,34,197,94,8210622438,node,wholesale,,,,,,openstreetmap
Veritiv,"1662, Greengarden Boulevard, Erie, PA, 16501",Food & Grocery,Big Box,Wholesale,,42.105633,-80.1159453,34,197,94,8698039639,node,wholesale,,,,,,openstreetmap
17xpress,"2036, Broad Street, Erie, PA, 16503",Food & Grocery,Convenience Store,Convenience & Fuel,,42.1277389,-80.0449559,34,197,94,7570732420,node,convenience,,,,,,openstreetmap
21st Street Market,"560, East 21st Street, Erie, PA, 16503",Food & Grocery,Convenience Store,Convenience & Fuel,,42.1210071,-80.0634182,34,197,94,7578417265,node,convenience,,,,,,openstreetmap
26th Street Quickie Mart,"1166, West 26th Street, Erie, PA, 16508",Food & Grocery,Convenience Store,Convenience & Fuel,,42.1027181,-80.099037,34,197,94,8528472887,node,convenience,,,,,,openstreetmap
A@A Convenience Store,"601, West 32nd Street, Erie, PA, 16508",Food & Grocery,Convenience Store,Convenience & Fuel,,42.101856,-80.0838467,34,197,94,8112360799,node,convenience,,,,,,openstreetmap
African Food Smirna Store,"3204, Buffalo Road, Erie, PA, 16510",Food & Grocery,Convenience Store,Convenience & Fuel,,42.1403366,-80.0154706,34,197,94,10050030374,node,convenience,,,,,,openstreetmap
Bayfront Convenience Store,"556, West 4th Street, Erie, PA, 16507",Food & Grocery,Convenience Store,Convenience & Fuel,,42.1271206,-80.0995137,34,197,94,8510495902,node,convenience,,,,,,openstreetmap
Big B's Food Mart,"1402, East Lake Road, Erie, PA, 16507",Food & Grocery,Convenience Store,Convenience & Fuel,,42.1411145,-80.0554706,34,197,94,848040945,way,convenience,,,,,,openstreetmap
Brothers One Stop Shop,"855, East 26th Street, Erie, 16504",Food & Grocery,Convenience Store,Convenience & Fuel,,42.1189441,-80.0538831,34,197,94,7757920360,node,convenience,,,,,,openstreetmap
Circle K,"52, South Lake Street, North East, PA, 16428",Food & Grocery,Convenience Store,Convenience & Fuel,convenience,42.2145537,-79.8346933,34,197,94,8066113646,node,convenience,,Circle K,,https://www.circlek.com/store-locator/US/north-east/52-s-lake-ave/4704215,,openstreetmap
Circle K,"830, Peach Street, Waterford, PA, 16441",Food & Grocery,Convenience Store,Convenience & Fuel,convenience,41.9485097,-79.9893752,34,197,94,8075421469,node,convenience,,Circle K,,,,openstreetmap
Circle K,"3327, Pine Avenue, Erie, PA, 16504",Food & Grocery,Convenience Store,Convenience & Fuel,convenience,42.1106452,-80.0558113,34,197,94,810024563,way,convenience,,Circle K,,https://www.circlek.com/store-locator/US/erie/3327-pine-ave/4704216,+18144524039,openstreetmap
Citgo,,Food & Grocery,Convenience Store,Convenience & Fuel,,41.5415801,-80.1881037,34,197,94,1006019643,way,convenience,,Citgo,,,,openstreetmap
Corner Market,"South Main Street, Springboro",Food & Grocery,Convenience Store,Convenience & Fuel,,41.8002843,-80.3686119,34,197,94,11415601560,node,convenience,,,,,,openstreetmap
Country Fair,"7650, Old Perry Highway, Erie, PA, 16509",Food & Grocery,Convenience Store,Convenience & Fuel,convenience,42.0709967,-80.0425083,34,197,94,1589495965,node,convenience,,,,,,openstreetmap
Country Fair,"7495, West Ridge Road, Fairview, PA, 16415",Food & Grocery,Convenience Store,Convenience & Fuel,convenience,42.0313395,-80.2546603,34,197,94,2060526063,node,convenience,,,,,,openstreetmap
Country Fair,"8080, Peach Street, Erie, PA, 16509",Food & Grocery,Convenience Store,Convenience & Fuel,convenience,42.0474922,-80.0802323,34,197,94,2066938480,node,convenience,,,,,,openstreetmap
Country Fair,"7400, Peach Street, Erie, PA, 16509",Food & Grocery,Convenience Store,Convenience & Fuel,convenience,42.0524396,-80.0857864,34,197,94,2066973748,node,convenience,,,,,,openstreetmap
Country Fair,"2500, Zimmerly Road, Erie, PA, 16506",Food & Grocery,Convenience Store,Convenience & Fuel,convenience,42.0661716,-80.1139751,34,197,94,2066983766,node,convenience,,,,,,openstreetmap
Country Fair,"3826, Peach Street, Erie, PA, 16508",Food & Grocery,Convenience Store,Convenience & Fuel,convenience,42.0958868,-80.0827173,34,197,94,2101061151,node,convenience,,,,,,openstreetmap
Country Fair,"2617, West 26th Street, Erie, PA, 16506",Food & Grocery,Convenience Store,Convenience & Fuel,convenience,42.0898474,-80.131382,34,197,94,2104910856,node,convenience,,Citgo,,,,openstreetmap
