name,address,category,tier,lat,lon,color_r,color_g,color_b,osm_id,osm_type,shop_tag,brand,opening_hours,geocode_source,already_in_app
17xpress,"2036, Broad Street, Erie, PA, 16503",Convenience & Fuel,convenience,42.1277389,-80.0449559,156,163,175,7570732420,node,convenience,,,openstreetmap,False
21st Street Market,"560, East 21st Street, Erie, PA, 16503",Convenience & Fuel,convenience,42.1210071,-80.0634182,156,163,175,7578417265,node,convenience,,,openstreetmap,False
26th Street Quickie Mart,"1166, West 26th Street, Erie, PA, 16508",Convenience & Fuel,convenience,42.1027181,-80.099037,156,163,175,8528472887,node,convenience,,,openstreetmap,False
A@A Convenience Store,"601, West 32nd Street, Erie, PA, 16508",Convenience & Fuel,convenience,42.101856,-80.0838467,156,163,175,8112360799,node,convenience,,,openstreetmap,False
African Food Smirna Store,"3204, Buffalo Road, Erie, PA, 16510",Convenience & Fuel,convenience,42.1403366,-80.0154706,156,163,175,10050030374,node,convenience,,,openstreetmap,False
Al's Melons,"Grand Army of the Republic Highway, Sadsbury Township, PA",Full-Service,standard,41.6081245,-80.3252096,59,130,246,6291672984,node,supermarket,,,openstreetmap,False
All In One Supermarket,"3304, Pine Avenue, Erie, PA, 16504",Full-Service,standard,42.1102433,-80.0564411,59,130,246,7902913710,node,supermarket,,,openstreetmap,False
Almadina Supermarket,"2325, Parade Street, Erie, PA, 16503",Full-Service,standard,42.1170064,-80.0659574,59,130,246,7567700244,node,supermarket,,,openstreetmap,False
Ash Street Market,"601, East 6th Street, Erie, PA, 16507",Full-Service,standard,42.1341658,-80.0717583,59,130,246,8576215694,node,supermarket,,,openstreetmap,False
BFA Mart,"1511, West 38th Street, Erie, PA, 16508",Full-Service,standard,42.0898935,-80.0974544,59,130,246,10016171783,node,supermarket,,,openstreetmap,False
Bayfront Convenience Store,"556, West 4th Street, Erie, PA, 16507",Convenience & Fuel,convenience,42.1271206,-80.0995137,156,163,175,8510495902,node,convenience,,,openstreetmap,False
Bello's Market,"2650, West 8th Street, Erie, PA, 16505",Full-Service,standard,42.1061009,-80.1430799,59,130,246,7854959976,node,supermarket,,,openstreetmap,False
Big B's Food Mart,"1402, East Lake Road, Erie, PA, 16507",Convenience & Fuel,convenience,42.1411145,-80.0554706,156,163,175,848040945,way,convenience,,,openstreetmap,False
Big Lots,"2215, West 12th Street, Erie, PA, 16505",Big Box,bigbox,42.1032174,-80.1310797,139,92,246,12943314389,node,department_store,Big Lots,,openstreetmap,False
Big Lots,"820, Water Street, Meadville, PA, 16335",Big Box,bigbox,41.6381173,-80.1558975,139,92,246,1144218954,way,department_store,Big Lots,Mo-Sa 09:00-21:00; Su 10:00-21:00,openstreetmap,False
Boscov's,"800, Millcreek Mall Boulevard, Erie, PA, 16565",Big Box,bigbox,42.0676751,-80.0961896,139,92,246,7571663171,node,department_store,Boscov's,,openstreetmap,False
Brothers One Stop Shop,"855, East 26th Street, Erie, 16504",Convenience & Fuel,convenience,42.1189441,-80.0538831,156,163,175,7757920360,node,convenience,,,openstreetmap,False
Burlington,"1900, Keystone Drive, Erie, PA, 16509",Big Box,bigbox,42.0568727,-80.0821031,139,92,246,7571240517,node,department_store,Burlington,Mo-Th 09:00-22:00; Fr-Sa 09:00-23:00; Su 09:00-22:00,openstreetmap,False
Cambridge Grocery,"110, Railroad Street, 16403",Full-Service,specialty,41.8041185,-80.0583202,16,185,129,13645502501,node,grocery,,Su 09:00-17:00; Mo-Sa 08:00-18:00,openstreetmap,False
Circle K,"52, South Lake Street, North East, PA, 16428",Convenience & Fuel,convenience,42.2145537,-79.8346933,156,163,175,8066113646,node,convenience,Circle K,,openstreetmap,False
Circle K,"830, Peach Street, Waterford, PA, 16441",Convenience & Fuel,convenience,41.9485097,-79.9893752,156,163,175,8075421469,node,convenience,Circle K,,openstreetmap,False
Circle K,"3327, Pine Avenue, Erie, PA, 16504",Convenience & Fuel,convenience,42.1106452,-80.0558113,156,163,175,810024563,way,convenience,Circle K,,openstreetmap,False
Citgo,,Convenience & Fuel,convenience,41.5415801,-80.1881037,156,163,175,1006019643,way,convenience,Citgo,,openstreetmap,False
City Fresh & Fast Mart,"155, East 25th Street, Erie, PA, 16503",Full-Service,standard,42.1138916,-80.0708476,59,130,246,10270352160,node,supermarket,,,openstreetmap,False
Corner Market,"South Main Street, Springboro",Convenience & Fuel,convenience,41.8002843,-80.3686119,156,163,175,11415601560,node,convenience,,,openstreetmap,False
Country Fair Express,"4771, Buffalo Road, Erie, PA, 16510",Convenience & Fuel,convenience,42.149887,-79.9943066,156,163,175,7567563732,node,convenience,,,openstreetmap,False
Country Fair Express,"3116, West 26th Street, Erie, PA, 16506",Convenience & Fuel,convenience,42.0865598,-80.1429984,156,163,175,7576468445,node,convenience,,,openstreetmap,False
Crosby's,"8024, Peach Street, Erie, PA, 16509",Convenience & Fuel,convenience,42.048504,-80.0812019,156,163,175,7570877228,node,convenience,,06:00-22:00,openstreetmap,False
Crosby's,"8030, Perry Highway, Erie, PA, 16509",Convenience & Fuel,convenience,42.0687394,-80.0400373,156,163,175,7626388582,node,convenience,,,openstreetmap,False
Crosby's,"13580, PA-8, Wattsburg, PA, 16442",Convenience & Fuel,convenience,42.0232344,-79.818604,156,163,175,1416779510,way,convenience,,,openstreetmap,False
DK International Foods,"2122, Buffalo Road, Erie, PA, 16510",Full-Service,standard,42.1343941,-80.0293915,59,130,246,7564032670,node,supermarket,,,openstreetmap,False
Darshan Friendly Mart,"2244, Broad Street, Erie, PA, 16503",Full-Service,standard,42.1252404,-80.0440778,59,130,246,7896894929,node,supermarket,,,openstreetmap,False
Delta Sonic,,Convenience & Fuel,convenience,42.0559328,-80.0898325,156,163,175,12083251048,node,convenience,Delta Sonic,,openstreetmap,False
Erie Quick Mart,"603, West 26th Street, Erie, PA, 16508",Convenience & Fuel,convenience,42.1066729,-80.0869118,156,163,175,13443727993,node,convenience,,,openstreetmap,False
Fadak International Food Market,"2601, Parade Street, Erie, PA, 16504",Full-Service,standard,42.1150547,-80.0646815,59,130,246,7567752590,node,supermarket,,,openstreetmap,False
Food Mart on the Go,"363, West 4th Street, Erie, PA, 16507",Convenience & Fuel,convenience,42.1282166,-80.09483,156,163,175,9123017415,node,convenience,,,openstreetmap,False
Fresh Asian Mini Mart,"837, West 38th Street, Erie, PA, 16508",Full-Service,standard,42.0948384,-80.08517,59,130,246,7573211278,node,supermarket,,,openstreetmap,False
Galaxy Food Mart,"1001, State Street, Erie, PA, 16501",Convenience & Fuel,convenience,42.1254764,-80.0822804,156,163,175,9111947547,node,convenience,,,openstreetmap,False
Gary's Superette,"4703, East Lake Road, Erie, PA, 16511",Convenience & Fuel,convenience,42.1649787,-80.0064065,156,163,175,8394602281,node,convenience,,,openstreetmap,False
Gary's Variety,"2521, Buffalo Road, Erie, PA, 16510",Convenience & Fuel,convenience,42.1370496,-80.0214196,156,163,175,7601162561,node,convenience,,,openstreetmap,False
GetGo,"4307, Buffalo Road, Erie, PA, 16510",Convenience & Fuel,convenience,42.1449135,-80.0039922,156,163,175,808959138,way,convenience,GetGo,24/7,openstreetmap,False
Glenwood Mini Mart,"2917, Glenwood Park Avenue, Erie, PA, 16508",Convenience & Fuel,convenience,42.108159,-80.0733453,156,163,175,9879220972,node,convenience,,,openstreetmap,False
Global Market of PA,"718, East Avenue, Erie, PA, 16503",Full-Service,standard,42.1359713,-80.0623356,59,130,246,10273208152,node,supermarket,,,openstreetmap,False
