zcta,county_name,area_name
15711,Jefferson,Anita
15715,Jefferson,Big Run
15721,Clearfield,Burnside
15724,Clearfield,Cherry Tree
15730,Jefferson,Coolspring
15733,Jefferson,De Lancey
15742,Clearfield,Glen Campbell
15744,Jefferson,Hamilton
15753,Clearfield,La Jose
15757,Clearfield,Mahaffey
15763,Jefferson,Northpoint
15764,Jefferson,Oliveburg
15767,Clearfield,Punxsutawney
15770,Jefferson,Ringgold
15772,Jefferson,Rossiter
15776,Jefferson,Sprankle Mills
15778,Jefferson,Timblin
15780,Jefferson,Valier
15781,Jefferson,Walston
15784,Jefferson,Worthville
15801,Clearfield,Du Bois
15821,Elk,Benezett
15823,Clearfield,Brockport
15824,Clearfield,Brockway
15825,Jefferson,Brookville
15827,Elk,Byrnedale
15828,Jefferson,Clarington
15829,Jefferson,Corsica
15831,Elk,Dagus Mines
15832,Clearfield,Driftwood
15834,Elk,Emporium
15840,Clearfield,Falls Creek
15841,Elk,Force
15845,Elk,Johnsonburg
15846,Clearfield,Kersey
15847,Jefferson,Knox Dale
15848,Clearfield,Luthersburg
15849,Clearfield,Penfield
15851,Clearfield,Reynoldsville
15853,Jefferson,Ridgway
15856,Clearfield,Rockton
15857,Elk,Saint Marys
15860,Jefferson,Sigel
15861,Clearfield,Sinnamahoning
15863,Jefferson,Stump Creek
15864,Jefferson,Summerville
15865,Clearfield,Sykesville
15866,Clearfield,Troutville
15868,Clearfield,Weedville
15870,Elk,Wilcox
16020,Venango,Boyers
16028,Clarion,East Brady
16036,Clarion,Foxburg
16038,Venango,Harrisville
16041,Clarion,Karns City
16049,Clarion,Parker
16054,Clarion,Saint Petersburg
16110,Crawford,Adamsville
16111,Crawford,Atlantic
16125,Crawford,Greenville
16127,Venango,Grove City
16130,Crawford,Hadley
16131,Crawford,Hartstown
16134,Crawford,Jamestown
16145,Venango,Sandy Lake
16153,Venango,Stoneboro
16213,Clarion,Callensburg
16214,Clarion,Clarion
16217,Jefferson,Cooksburg
16218,Clarion,Cowansville
16220,Clarion,Crown
16222,Jefferson,Dayton
16224,Clarion,Fairmount City
16230,Clarion,Hawthorn
16232,Clarion,Knox
16233,Jefferson,Leeper
16235,Clarion,Lucinda
16239,Elk,Marienville
16240,Jefferson,Mayport
16242,Clarion,New Bethlehem
16245,Clarion,Oak Ridge
16248,Clarion,Rimersburg
16254,Clarion,Shippenville
16255,Clarion,Sligo
16256,Jefferson,Smicksburg
16258,Jefferson,Strattanville
16259,Clarion,Templeton
16260,Clarion,Vowinckel
16301,Venango,Oil City
16311,Venango,Carlton
16312,Warren,Chandlers Valley
16313,McKean,Clarendon
16314,Venango,Cochranton
16316,Crawford,Conneaut Lake
16317,Venango,Cooperstown
16319,Clarion,Cranberry
16321,Forest,East Hickory
16322,Forest,Endeavor
16323,Venango,Franklin
