GEOID,year,snap_participation_rate
42023960100,2020,33.8
42023960200,2020,15.4
42031160101,2020,10.6
42031160103,2020,19.0
42031160104,2020,12.4
42031160201,2020,8.9
42031160202,2020,5.0
42031160300,2020,11.7
42031160400,2020,18.6
42031160500,2020,18.1
42031160600,2020,21.4
42031160701,2020,21.8
42031160702,2020,18.4
42031160800,2020,14.9
42031160900,2020,15.0
42033330100,2020,21.5
42033330200,2020,17.3
42033330300,2020,21.0
42033330400,2020,12.4
42033330500,2020,12.2
42033330600,2020,23.9
42033330700,2020,18.8
42033330800,2020,16.8
42033330900,2020,25.8
42033331000,2020,24.3
42033331100,2020,31.6
42033331200,2020,18.7
42033331300,2020,22.3
42033331401,2020,14.2
42033331402,2020,20.5
42033331500,2020,18.0
42033331600,2020,22.6
42033331700,2020,18.3
42033331800,2020,17.5
42033331900,2020,23.9
42039110100,2020,19.4
42039110201,2020,9.7
42039110202,2020,17.6
42039110300,2020,18.0
42039110400,2020,14.7
42039110501,2020,12.1
42039110502,2020,12.9
42039110600,2020,9.5
42039110700,2020,10.8
42039110800,2020,8.9
42039110900,2020,13.2
42039111000,2020,18.4
42039111100,2020,32.8
42039111200,2020,24.8
42039111300,2020,10.1
42039111400,2020,22.0
42039111500,2020,23.5
42039111600,2020,51.6
42039111700,2020,10.0
42039111800,2020,6.6
42039111900,2020,11.3
42039112001,2020,14.5
42039112002,2020,12.7
42047950100,2020,8.5
42047950200,2020,8.9
42047950400,2020,23.5
42047950500,2020,13.7
42047950900,2020,9.8
42047951000,2020,8.6
42047951100,2020,17.3
42047951200,2020,14.7
42047951300,2020,8.0
42049000100,2020,68.3
42049000200,2020,9.5
42049000300,2020,27.1
42049000400,2020,43.8
42049000500,2020,51.7
42049000600,2020,46.9
42049000700,2020,50.1
42049000800,2020,57.0
42049000901,2020,19.7
42049000902,2020,38.0
42049001000,2020,29.2
42049001100,2020,25.5
42049001200,2020,53.1
42049001300,2020,69.2
42049001400,2020,51.6
42049001500,2020,71.9
42049001600,2020,15.7
42049001700,2020,45.5
42049001800,2020,61.2
42049001900,2020,35.1
42049002000,2020,17.0
42049002100,2020,13.5
42049002200,2020,13.0
42049002300,2020,24.7
