ZCTA5CE20,year,snap_participation_rate
00601,2020,56.3
00602,2020,53.1
00603,2020,48.8
00606,2020,57.7
00610,2020,51.9
00612,2020,50.0
00616,2020,47.7
00617,2020,48.1
00622,2020,46.7
00623,2020,38.9
00624,2020,53.1
00627,2020,51.2
00631,2020,65.3
00637,2020,42.5
00638,2020,57.2
00641,2020,51.5
00646,2020,33.7
00647,2020,54.9
00650,2020,55.4
00652,2020,43.5
00653,2020,59.0
00656,2020,51.6
00659,2020,50.3
00660,2020,41.6
00662,2020,45.8
00664,2020,63.6
00667,2020,53.3
00669,2020,58.3
00670,2020,51.6
00674,2020,41.9
00676,2020,55.4
00677,2020,42.6
00678,2020,50.0
00680,2020,48.5
00682,2020,45.5
00683,2020,48.6
00685,2020,55.5
00687,2020,56.2
00688,2020,51.6
00690,2020,32.9
00692,2020,43.7
00693,2020,41.0
00694,2020,0.0
00698,2020,51.1
00703,2020,48.5
00704,2020,46.4
00705,2020,46.3
00707,2020,49.5
00714,2020,54.9
00715,2020,66.4
00716,2020,50.0
00717,2020,56.0
00718,2020,50.1
00719,2020,55.0
00720,2020,57.3
00723,2020,54.5
00725,2020,42.4
00727,2020,28.7
00728,2020,49.0
00729,2020,46.5
00730,2020,51.4
00731,2020,58.0
00735,2020,45.8
00736,2020,37.7
00738,2020,41.8
00739,2020,41.9
00740,2020,66.9
00741,2020,40.6
00745,2020,42.6
00751,2020,49.8
00754,2020,50.7
00757,2020,44.9
00765,2020,43.7
00766,2020,56.0
00767,2020,56.7
00769,2020,48.0
00771,2020,45.7
00772,2020,57.7
00773,2020,45.2
00775,2020,23.7
00777,2020,45.3
00778,2020,31.0
00780,2020,42.8
00782,2020,57.6
00783,2020,56.3
00784,2020,52.7
00786,2020,100.0
00791,2020,40.4
00794,2020,53.8
00795,2020,54.5
00901,2020,24.5
00906,2020,0.0
00907,2020,12.3
00909,2020,28.4
00911,2020,11.2
00912,2020,20.9
00913,2020,68.5
00915,2020,45.8
00917,2020,38.8
00918,2020,23.8
00920,2020,28.0
00921,2020,36.6
00923,2020,46.5
00924,2020,42.2
00925,2020,26.3
00926,2020,22.4
00927,2020,16.3
00934,2020,0.0
00936,2020,
00949,2020,32.4
00950,2020,
00951,2020,
00952,2020,51.7
00953,2020,28.9
00956,2020,32.8
00957,2020,35.3
00959,2020,29.6
00960,2020,
00961,2020,27.9
00962,2020,51.4
00965,2020,51.0
00966,2020,13.9
00968,2020,13.2
00969,2020,15.7
00971,2020,33.3
00976,2020,28.2
00979,2020,12.9
00982,2020,33.7
00983,2020,34.8
00985,2020,35.8
00987,2020,28.1
01001,2020,10.8
01002,2020,8.2
01003,2020,0.0
01005,2020,7.4
01007,2020,6.0
01008,2020,7.5
01009,2020,11.1
01010,2020,12.2
01011,2020,9.8
01012,2020,5.9
01013,2020,27.8
01020,2020,20.1
01022,2020,6.7
01026,2020,11.5
01027,2020,11.1
01028,2020,6.2
01029,2020,12.6
01030,2020,7.5
01031,2020,12.9
01032,2020,11.8
01033,2020,3.7
01034,2020,5.2
01035,2020,9.0
01036,2020,4.3
01037,2020,0.0
01038,2020,6.2
01039,2020,5.2
01040,2020,34.8
01050,2020,7.7
01053,2020,0.0
01054,2020,7.0
01056,2020,13.3
01057,2020,8.0
01060,2020,13.1
01062,2020,13.1
01063,2020,
01066,2020,0.0
01068,2020,7.7
01069,2020,18.6
01070,2020,7.7
01071,2020,6.4
01072,2020,9.4
01073,2020,7.4
01074,2020,22.3
01075,2020,6.9
01077,2020,5.7
01079,2020,16.4
01080,2020,8.9
01081,2020,14.8
01082,2020,19.8
01083,2020,23.1
01084,2020,5.6
01085,2020,15.6
01086,2020,
01088,2020,12.1
01089,2020,21.1
01092,2020,8.8
01093,2020,0.0
01094,2020,15.2
01095,2020,9.4
01096,2020,6.7
01097,2020,21.9
01098,2020,9.1
01103,2020,53.9
01104,2020,37.5
01105,2020,62.5
01106,2020,3.9
01107,2020,53.5
01108,2020,29.0
01109,2020,43.9
01118,2020,11.9
01119,2020,20.9
01128,2020,11.4
01129,2020,15.1
01151,2020,34.7
01199,2020,
01201,2020,21.0
01220,2020,16.3
01222,2020,14.0
01223,2020,5.1
01224,2020,0.0
01225,2020,12.6
01226,2020,9.7
01229,2020,28.6
01230,2020,6.7
01235,2020,10.3
01236,2020,1.6
01237,2020,4.2
01238,2020,6.2
01240,2020,5.6
01242,2020,33.6
01243,2020,0.0
01244,2020,5.7
01245,2020,0.0
01247,2020,17.9
01253,2020,5.9
01254,2020,3.0
01255,2020,10.1
01256,2020,8.9
01257,2020,5.4
01258,2020,10.9
01259,2020,6.6
01260,2020,0.0
01262,2020,9.1
01264,2020,13.4
01266,2020,7.6
01267,2020,7.8
01270,2020,7.3
01301,2020,21.5
01330,2020,3.9
01331,2020,18.1
01337,2020,11.6
01338,2020,0.0
01339,2020,12.3
01340,2020,11.6
01341,2020,4.1
01342,2020,5.1
01343,2020,6.1
01344,2020,14.4
01346,2020,13.7
01347,2020,59.2
01349,2020,18.4
01350,2020,14.6
01351,2020,8.9
01354,2020,11.5
01355,2020,5.8
01360,2020,7.0
01364,2020,15.7
01366,2020,7.2
01367,2020,5.4
01368,2020,5.6
01370,2020,9.2
01373,2020,6.3
