name,address,county,state,zip,lat,lon,category,tier,store_type_raw,authorization_date,geocode_source
DOLLAR GENERAL 504,209 Sizerville Rd,CAMERON,PA,15834,41.51018,-78.21959,Full-Service,specialty,Combination Grocery/Other,1/4/2018,usda_historical_2005_2025
Emporium Food Store Llc,441 E 3rd St,CAMERON,PA,15834,41.50956,-78.22741,Full-Service,standard,Supermarket,5/28/2025,usda_historical_2005_2025
ALDI 69050,22827 Route 68,CLARION,PA,16214,41.1965,-79.3912,Full-Service,standard,Supermarket,10/23/2002,usda_historical_2005_2025
Choice 4083,533 E State St,CLARION,PA,16232,41.23431,-79.53631,Convenience & Fuel,convenience,Convenience Store,10/4/2018,usda_historical_2005_2025
Country Fair 36,10315 Route 322,CLARION,PA,16254,41.24289,-79.4258,Convenience & Fuel,convenience,Convenience Store,11/7/1978,usda_historical_2005_2025
County Line Market Llc,3204 Pine Hollow Dr,CLARION,PA,16353,41.42851,-79.36795,Convenience & Fuel,convenience,Convenience Store,1/16/2025,usda_historical_2005_2025
CVS Pharmacy 1680,Main St & 7th Ave (SEC),CLARION,PA,16214,41.21335,-79.38217,Full-Service,specialty,Combination Grocery/Other,4/21/2017,usda_historical_2005_2025
Dollar General 7864,612 Broad St,CLARION,PA,16242,41.00157,-79.32603,Full-Service,specialty,Combination Grocery/Other,8/11/2004,usda_historical_2005_2025
DOLLAR GENERAL 8395,7376 Route 68,CLARION,PA,16248,41.03119,-79.51218,Full-Service,specialty,Combination Grocery/Other,8/11/2004,usda_historical_2005_2025
DOLLAR GENERAL 2229,443 S 5th Ave # 20,CLARION,PA,16214,41.20589,-79.38975,Full-Service,specialty,Combination Grocery/Other,8/11/2004,usda_historical_2005_2025
Dollar General 7865,760 Miller St,CLARION,PA,16232,41.23117,-79.52774,Full-Service,specialty,Combination Grocery/Other,12/7/2004,usda_historical_2005_2025
DOLLAR GENERAL 18318,2337 Rt 157,CLARION,PA,16326,41.35591,-79.44265,Full-Service,specialty,Combination Grocery/Other,12/24/2017,usda_historical_2005_2025
DOLLAR GENERAL 18825,16111 Route 322,CLARION,PA,16214,41.20539,-79.34022,Full-Service,specialty,Combination Grocery/Other,1/4/2018,usda_historical_2005_2025
DOLLAR GENERAL 18812,10728 Route 66,CLARION,PA,16214,41.14768,-79.3259,Full-Service,specialty,Combination Grocery/Other,5/11/2018,usda_historical_2005_2025
DOLLAR GENERAL 18851,10208 Route 322,CLARION,PA,16254,41.24322,-79.42785,Full-Service,specialty,Combination Grocery/Other,6/6/2018,usda_historical_2005_2025
DOLLAR GENERAL 19633,3245 State Route 28 and 66,CLARION,PA,16242,40.97308,-79.35094,Full-Service,specialty,Combination Grocery/Other,8/28/2018,usda_historical_2005_2025
Dollar General 22678,13743 Route 68,CLARION,PA,16255,41.11003,-79.47915,Full-Service,specialty,Combination Grocery/Other,1/13/2022,usda_historical_2005_2025
Dollar General 30882,12693 Route 36,CLARION,PA,16353,41.48444,-79.45316,Full-Service,specialty,Combination Grocery/Other,5/8/2025,usda_historical_2005_2025
