tract_code,county_fips,year,NAME,total_population,median_age,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,white_non_hispanic,black_alone,hispanic_latino,asian_alone,race_total
010304,049,2019,"Census Tract 103.04, Erie County, Pennsylvania",4278,49.5,96.8,0.7,1.3,0.5,0.7,4141,28,55,20,4278
010500,049,2019,"Census Tract 105, Erie County, Pennsylvania",3659,47.5,85.7,7.2,0.0,0.3,6.8,3136,262,0,11,3659
010903,049,2019,"Census Tract 109.03, Erie County, Pennsylvania",6435,40.2,91.6,2.7,1.5,1.0,3.2,5896,176,96,66,6435
011002,049,2019,"Census Tract 110.02, Erie County, Pennsylvania",4870,36.7,85.1,1.8,3.3,5.2,4.6,4145,86,161,252,4870
011101,049,2019,"Census Tract 111.01, Erie County, Pennsylvania",5417,38.7,95.1,1.9,0.8,0.6,1.6,5150,101,46,30,5417
011801,049,2019,"Census Tract 118.01, Erie County, Pennsylvania",2759,41.1,98.1,0.0,0.3,0.4,1.2,2707,0,7,10,2759
001100,049,2019,"Census Tract 11, Erie County, Pennsylvania",2780,37.4,71.3,1.8,16.0,0.1,10.8,1982,49,445,4,2780
002500,049,2019,"Census Tract 25, Erie County, Pennsylvania",2425,28.7,60.9,25.0,2.0,0.8,11.3,1477,607,49,19,2425
002700,049,2019,"Census Tract 27, Erie County, Pennsylvania",6839,42.2,78.5,8.9,8.7,2.6,1.3,5371,609,594,179,6839
010202,049,2019,"Census Tract 102.02, Erie County, Pennsylvania",5311,47.0,95.7,0.0,2.3,0.0,2.0,5081,0,122,0,5311
010301,049,2019,"Census Tract 103.01, Erie County, Pennsylvania",4851,43.2,95.6,0.5,0.5,0.0,3.4,4637,25,24,0,4851
011507,049,2019,"Census Tract 115.07, Erie County, Pennsylvania",3221,47.7,98.1,0.8,1.0,0.0,0.1,3160,25,31,0,3221
011600,049,2019,"Census Tract 116, Erie County, Pennsylvania",4108,34.5,90.1,1.8,5.3,0.1,2.7,3701,73,216,3,4108
012201,049,2019,"Census Tract 122.01, Erie County, Pennsylvania",6030,46.0,95.7,0.8,1.9,0.2,1.4,5771,51,112,11,6030
010201,049,2019,"Census Tract 102.01, Erie County, Pennsylvania",5932,38.2,89.5,1.5,7.8,0.0,1.2,5307,89,461,0,5932
001500,049,2019,"Census Tract 15, Erie County, Pennsylvania",3107,22.5,27.3,34.3,19.2,11.0,8.2,849,1067,597,342,3107
001600,049,2019,"Census Tract 16, Erie County, Pennsylvania",4413,36.0,61.3,20.8,12.6,0.5,4.8,2703,919,557,23,4413
002300,049,2019,"Census Tract 23, Erie County, Pennsylvania",2708,35.9,82.6,9.8,2.8,1.8,3.0,2237,265,75,49,2708
010400,049,2019,"Census Tract 104, Erie County, Pennsylvania",4776,47.0,94.9,0.1,0.5,1.5,3.0,4533,5,22,71,4776
010902,049,2019,"Census Tract 109.02, Erie County, Pennsylvania",4319,47.4,95.3,1.1,1.4,0.6,1.6,4114,47,62,25,4319
011201,049,2019,"Census Tract 112.01, Erie County, Pennsylvania",4555,46.4,95.9,0.0,1.6,0.7,1.8,4366,0,71,34,4555
001700,049,2019,"Census Tract 17, Erie County, Pennsylvania",2642,31.0,41.4,37.3,9.7,4.0,7.6,1093,986,257,105,2642
002100,049,2019,"Census Tract 21, Erie County, Pennsylvania",3714,44.9,95.5,2.7,0.7,0.9,0.2,3546,100,26,32,3714
002600,049,2019,"Census Tract 26, Erie County, Pennsylvania",3840,38.5,67.7,17.9,5.0,4.3,5.1,2601,689,193,165,3840
010700,049,2019,"Census Tract 107, Erie County, Pennsylvania",4081,35.7,89.3,3.4,3.4,1.7,2.2,3643,140,137,68,4081
010904,049,2019,"Census Tract 109.04, Erie County, Pennsylvania",5283,44.1,93.2,1.0,0.9,3.3,1.6,4925,52,48,174,5283
011300,049,2019,"Census Tract 113, Erie County, Pennsylvania",3185,36.3,88.5,0.8,4.8,2.3,3.6,2819,24,152,73,3185
011503,049,2019,"Census Tract 115.03, Erie County, Pennsylvania",3875,51.9,95.2,1.5,0.9,1.8,0.6,3689,58,36,68,3875
011701,049,2019,"Census Tract 117.01, Erie County, Pennsylvania",3025,48.6,91.8,2.7,2.6,0.9,2.0,2778,83,79,26,3025
012002,049,2019,"Census Tract 120.02, Erie County, Pennsylvania",3189,40.8,97.6,0.0,1.1,0.0,1.3,3112,0,36,0,3189
000800,049,2019,"Census Tract 8, Erie County, Pennsylvania",1971,33.4,41.8,27.8,18.6,9.9,1.9,823,547,366,196,1971
002200,049,2019,"Census Tract 22, Erie County, Pennsylvania",4193,37.5,88.3,3.1,1.6,0.0,7.0,3702,131,69,0,4193
010101,049,2019,"Census Tract 101.01, Erie County, Pennsylvania",3331,44.3,93.5,0.5,0.2,0.0,5.8,3113,16,7,0,3331
010303,049,2019,"Census Tract 103.03, Erie County, Pennsylvania",5828,43.7,94.1,0.4,1.7,0.4,3.4,5483,24,98,24,5828
011001,049,2019,"Census Tract 110.01, Erie County, Pennsylvania",6449,44.1,87.1,3.4,2.3,2.7,4.5,5617,220,146,173,6449
