median_household_income,total_population,median_age,state,zcta,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,unemployment_rate,homeownership_rate,year,area_name,county_name
68125,340,56.7,PA,16110,3.2,10.3,14.3,2.8,100.0,0.0,0.0,0.0,0.0,2.3,95.2,2019,Adamsville,Crawford
43050,15572,37.2,PA,16504,21.6,16.2,21.9,9.9,79.8,11.8,2.1,3.1,3.2,7.8,68.9,2019,Erie South East,Erie
31313,346,17.3,PA,16328,67.9,1.4,52.2,0.0,91.9,2.3,1.4,0.0,4.4,11.4,30.3,2019,Hydetown,Crawford
,1626,19.4,PA,16563,,,,,73.7,4.2,1.6,15.1,5.4,7.2,,2019,Erie Penn State Behrend,Erie
39948,1249,40.8,PA,16111,20.7,3.9,18.3,26.2,98.4,0.0,0.0,0.0,1.6,1.3,85.4,2019,Atlantic,Crawford
47545,3433,38.9,PA,16404,18.8,7.7,15.6,7.6,98.9,0.1,0.6,0.3,0.1,5.6,79.9,2019,Centerville,Crawford
53165,7861,42.9,PA,16417,14.8,14.8,19.6,4.8,91.3,1.0,6.1,0.0,1.6,3.3,76.1,2019,Girard,Erie
33833,15752,33.8,PA,16502,32.0,14.7,27.1,21.8,65.3,13.9,11.9,1.6,7.3,8.7,36.2,2019,Erie West,Erie
36358,9572,30.9,PA,16507,24.4,12.0,24.1,24.9,66.1,18.3,7.0,4.5,4.1,8.7,31.4,2019,Erie Downtown,Erie
58614,26863,43.5,PA,16509,7.9,22.5,20.2,5.5,91.5,2.0,1.7,1.9,2.9,3.6,68.4,2019,Erie Millcreek/South,Erie
45329,3774,51.2,PA,16134,17.0,12.9,22.7,6.0,98.1,0.1,0.8,0.1,0.9,5.5,86.1,2019,Jamestown,Crawford
57244,6790,41.0,PA,16403,12.0,15.5,11.2,5.0,91.7,3.6,2.6,0.7,1.4,5.9,77.7,2019,Cambridge Springs,Crawford
54306,3069,44.2,PA,16406,12.8,13.7,10.6,8.8,98.1,0.7,0.4,0.0,0.8,6.7,81.7,2019,Conneautville,Crawford
96556,9596,41.9,PA,16415,4.1,27.8,42.8,6.8,93.4,0.5,1.6,1.9,2.6,1.4,89.1,2019,Fairview,Erie
51583,4204,41.4,PA,16423,14.7,15.5,13.0,4.3,96.0,0.2,2.6,0.0,1.2,8.6,80.7,2019,Lowville/Wattsburg,Erie
54022,1785,43.5,PA,16435,15.9,9.3,22.4,13.2,96.5,0.7,1.8,0.6,0.4,4.7,77.1,2019,Springboro,Crawford
57083,888,48.5,PA,16440,9.8,12.5,4.1,4.4,98.0,0.2,0.6,0.2,1.0,4.1,87.2,2019,Venango,Crawford
62045,5159,48.7,PA,16316,7.2,16.9,16.9,3.8,98.1,0.1,0.6,0.3,0.9,3.8,79.3,2019,Conneaut Lake,Crawford
56000,1305,43.1,PA,16360,11.6,12.7,4.0,3.8,98.9,0.2,0.3,0.0,0.6,7.8,81.0,2019,Townville,Crawford
50231,6780,40.8,PA,16401,13.3,6.3,24.8,7.0,77.3,17.3,3.9,0.2,1.3,4.9,75.1,2019,Albion,Erie
42500,410,37.4,PA,16422,22.9,32.2,65.0,17.5,97.3,0.0,2.7,0.0,0.0,4.2,87.0,2019,Harmonsburg,Crawford
51705,7568,44.8,PA,16438,16.1,12.2,16.1,11.1,97.9,0.1,1.3,0.0,0.7,5.9,76.0,2019,Union City,Erie
67371,24438,43.1,PA,16506,6.7,23.7,20.5,5.4,91.8,2.2,2.0,1.8,2.2,4.5,69.6,2019,Erie Millcreek/West,Erie
48956,16182,37.8,PA,16508,14.7,19.2,20.9,9.1,85.7,6.4,3.6,0.8,3.5,3.2,65.0,2019,Erie South Central,Erie
54002,25952,39.6,PA,16510,17.1,16.6,22.2,8.3,81.7,8.5,6.0,2.1,1.7,5.8,76.4,2019,Erie Harborcreek,Erie
62083,979,41.2,PA,16131,8.2,8.4,17.0,5.6,95.8,0.0,3.8,0.0,0.4,1.3,75.3,2019,Hartstown,Crawford
44479,176,34.5,PA,16427,25.0,5.0,15.8,0.0,98.9,0.0,0.0,0.0,1.1,12.3,70.8,2019,Mill Village,Erie
68174,10562,42.0,PA,16441,9.4,17.0,8.3,6.1,96.5,0.3,1.3,0.2,1.7,3.3,84.3,2019,Waterford,Erie
64444,3061,41.0,PA,16442,7.9,12.5,6.1,4.4,97.1,0.4,0.4,0.5,1.6,4.5,86.7,2019,Wattsburg,Erie
50114,11207,42.0,PA,16511,15.3,18.3,16.4,12.5,84.4,7.7,5.6,1.3,1.0,5.4,62.1,2019,Erie Lawrence Park,Erie
60042,5365,42.3,PA,16314,6.4,11.4,11.8,4.1,96.9,0.7,0.4,0.4,1.6,3.0,84.8,2019,Cochranton,Crawford
50319,11034,45.1,PA,16407,17.7,12.3,21.7,12.5,93.8,2.7,2.0,0.3,1.2,2.4,66.7,2019,Corry,Erie
66563,1727,47.6,PA,16410,10.9,9.2,3.8,0.9,96.5,0.0,0.2,0.2,3.1,3.3,91.8,2019,Cranesville,Erie
75063,2618,46.1,PA,16421,5.1,20.2,3.2,1.5,97.8,1.0,0.5,0.0,0.7,3.6,81.1,2019,Lake City,Erie
59432,5148,44.4,PA,16433,6.6,15.3,5.2,4.4,96.1,0.4,1.4,0.8,1.3,2.4,81.5,2019,Saegertown,Crawford
43125,3217,27.4,PA,16434,25.1,7.0,13.5,28.0,97.5,1.2,0.8,0.0,0.5,4.8,84.8,2019,Spartansburg,Crawford
54191,2916,42.7,PA,16327,6.6,10.9,18.4,3.2,96.4,1.2,0.9,0.3,1.2,4.6,87.3,2019,Guys Mills,Crawford
43228,10539,44.7,PA,16354,17.3,10.2,14.2,9.4,96.4,1.4,0.9,0.6,0.7,5.0,68.3,2019,Titusville,Crawford
60098,10629,38.8,PA,16412,15.4,31.1,32.4,7.3,94.0,1.6,1.9,1.0,1.5,4.5,65.8,2019,Edinboro,Erie
49770,4662,49.6,PA,16424,12.5,8.8,20.9,6.0,97.6,0.0,1.0,0.2,1.2,5.8,85.2,2019,Linesville,Crawford
62324,12279,41.0,PA,16428,8.9,16.0,16.1,6.6,94.0,1.7,2.6,0.2,1.5,5.3,72.6,2019,North East,Erie
25121,16089,29.9,PA,16503,42.4,5.3,30.4,33.0,42.6,33.4,16.3,3.5,4.2,13.7,34.7,2019,Erie East,Erie
47447,27419,42.3,PA,16335,13.8,14.8,21.1,12.4,90.9,3.0,1.8,1.0,3.3,6.8,60.2,2019,Meadville,Crawford
63438,1590,44.1,PA,16411,16.5,7.5,0.0,3.1,91.9,0.0,0.4,0.0,7.7,10.8,78.6,2019,East Springfield,Erie
67340,3548,46.4,PA,16426,10.9,13.5,5.5,5.0,95.1,0.7,0.7,0.0,3.5,5.6,83.0,2019,McKean,Erie
44878,1247,45.7,PA,16443,6.5,7.6,25.0,6.9,92.8,1.3,0.0,0.0,5.9,4.2,92.1,2019,West Springfield,Erie
10874,1829,53.6,PA,16501,63.8,7.5,22.1,56.9,59.3,31.0,3.9,4.0,1.8,20.4,1.4,2019,Erie Downtown,Erie
60731,15911,48.5,PA,16505,10.2,25.8,20.8,8.8,92.2,2.5,1.0,1.2,3.1,3.1,75.4,2019,Erie Frontier/West,Erie
44750,146,36.5,PA,16427,34.2,5.9,37.5,7.9,97.9,0.0,1.4,0.0,0.7,9.5,74.6,2020,Mill Village,Erie
69527,10069,46.0,PA,16441,6.8,15.5,16.7,4.6,96.4,0.2,1.9,0.3,1.2,2.9,85.0,2020,Waterford,Erie
64256,3334,36.8,PA,16442,7.1,14.2,4.4,4.1,95.5,0.2,2.4,0.5,1.4,5.1,84.8,2020,Wattsburg,Erie
51443,11439,37.4,PA,16511,16.9,18.9,22.7,11.8,81.1,9.9,5.7,1.4,1.9,4.9,62.3,2020,Erie Lawrence Park,Erie
75571,1390,45.6,PA,16411,13.9,8.9,0.0,3.4,92.4,0.0,1.0,0.0,6.6,8.3,81.5,2020,East Springfield,Erie
63889,3389,47.8,PA,16426,12.5,12.4,4.8,6.7,93.2,0.5,0.5,0.0,5.8,5.0,84.2,2020,McKean,Erie
49438,1166,36.6,PA,16443,9.3,8.7,100.0,2.0,90.9,1.3,0.9,0.0,6.9,5.3,92.2,2020,West Springfield,Erie
11516,1569,56.5,PA,16501,66.7,9.7,30.7,56.7,68.3,23.3,6.1,0.3,2.0,23.3,1.2,2020,Erie Downtown,Erie
61924,15615,49.4,PA,16505,10.7,26.2,26.9,8.4,92.9,2.0,1.2,1.7,2.2,4.4,75.6,2020,Erie Frontier/West,Erie
67250,328,56.4,PA,16110,4.9,7.5,12.5,14.8,100.0,0.0,0.0,0.0,0.0,1.1,94.6,2020,Adamsville,Crawford
46094,1422,34.2,PA,16111,16.3,3.3,19.1,26.5,98.5,0.0,0.0,0.0,1.5,0.8,86.4,2020,Atlantic,Crawford
52500,3286,44.6,PA,16404,20.4,7.1,14.0,6.0,91.3,0.1,0.7,0.3,7.6,8.3,81.8,2020,Centerville,Crawford
67225,8141,44.0,PA,16417,11.0,21.1,20.9,3.0,92.6,1.1,5.0,0.3,1.0,2.7,74.4,2020,Girard,Erie
30902,15818,36.4,PA,16502,32.8,14.0,29.1,22.9,68.4,12.2,10.8,1.7,6.9,8.3,37.0,2020,Erie West,Erie
34145,9512,30.2,PA,16507,26.7,12.3,31.1,23.2,64.3,16.9,6.4,3.2,9.2,7.6,33.3,2020,Erie Downtown,Erie
60561,26838,42.7,PA,16509,9.6,25.2,20.2,5.6,89.5,3.5,2.4,2.3,2.3,3.2,69.6,2020,Erie Millcreek/South,Erie
44321,10819,42.8,PA,16354,20.3,8.7,15.5,10.7,96.9,1.2,1.0,0.5,0.4,6.8,69.2,2020,Titusville,Crawford
54641,10041,37.2,PA,16412,15.1,28.9,35.1,7.0,95.1,0.5,2.5,0.8,1.1,4.6,63.7,2020,Edinboro,Erie
49750,4641,48.6,PA,16424,10.4,11.2,18.0,6.1,97.5,0.0,1.0,0.2,1.3,5.0,85.3,2020,Linesville,Crawford
63616,12313,39.9,PA,16428,9.3,15.5,12.9,5.5,91.0,1.8,4.4,0.3,2.5,5.0,72.2,2020,North East,Erie
26540,15855,30.0,PA,16503,39.7,7.2,30.4,33.6,43.8,33.5,15.1,3.5,4.1,15.2,33.0,2020,Erie East,Erie
49555,27120,43.7,PA,16335,11.6,14.7,17.3,12.0,91.5,2.7,1.7,1.0,3.1,7.3,58.9,2020,Meadville,Crawford
59212,4821,48.6,PA,16316,7.3,15.4,13.9,3.3,97.3,0.1,1.5,0.3,0.8,3.6,80.8,2020,Conneaut Lake,Crawford
50556,1387,43.8,PA,16360,17.7,20.1,3.3,2.4,95.0,0.1,0.3,0.0,4.6,5.3,74.5,2020,Townville,Crawford
51470,6431,43.7,PA,16401,11.9,6.8,26.7,6.6,76.8,18.4,3.4,0.2,1.2,4.6,77.1,2020,Albion,Erie
38333,366,37.7,PA,16422,24.9,30.3,100.0,19.4,100.0,0.0,0.0,0.0,0.0,4.2,90.3,2020,Harmonsburg,Crawford
53032,7588,46.7,PA,16438,14.8,12.0,17.8,9.6,96.1,0.1,2.6,0.3,0.9,6.7,77.5,2020,Union City,Erie
70856,24163,45.0,PA,16506,6.1,23.0,26.2,6.2,91.7,2.4,1.7,2.2,2.0,3.2,71.4,2020,Erie Millcreek/West,Erie
50747,16021,36.6,PA,16508,11.9,19.5,20.3,9.0,82.8,6.7,4.0,1.7,4.8,4.6,66.6,2020,Erie South Central,Erie
56463,25299,39.8,PA,16510,16.2,17.5,20.1,8.0,80.6,8.1,6.0,3.3,2.0,5.5,79.7,2020,Erie Harborcreek,Erie
61136,871,44.6,PA,16131,7.2,6.2,18.1,4.9,97.2,0.0,2.8,0.0,-0.0,2.9,76.1,2020,Hartstown,Crawford
42083,215,22.5,PA,16328,49.8,1.0,10.3,0.0,85.6,3.7,2.8,0.0,7.9,15.6,52.5,2020,Hydetown,Crawford
,1596,19.5,PA,16563,,0.0,,,77.6,4.8,1.2,12.9,3.5,7.4,,2020,Erie Penn State Behrend,Erie
56596,5240,44.3,PA,16314,7.1,11.7,10.0,3.3,96.0,0.7,0.6,0.3,2.4,3.6,84.0,2020,Cochranton,Crawford
45717,10816,44.5,PA,16407,16.6,14.1,21.1,9.7,91.4,2.4,1.7,0.1,4.4,6.3,72.4,2020,Corry,Erie
80708,2087,47.4,PA,16410,8.1,15.4,5.4,0.7,96.5,0.9,1.2,0.2,1.2,4.0,94.9,2020,Cranesville,Erie
68784,2606,46.0,PA,16421,14.8,20.4,0.0,2.8,96.9,1.0,0.3,0.0,1.8,0.9,65.5,2020,Lake City,Erie
60032,5193,43.4,PA,16433,6.3,15.3,4.8,8.3,96.0,0.6,0.8,0.5,2.1,2.1,80.7,2020,Saegertown,Crawford
48224,3228,28.1,PA,16434,24.6,6.9,11.8,24.3,97.5,1.2,0.8,0.0,0.5,6.5,86.6,2020,Spartansburg,Crawford
62431,2813,44.1,PA,16327,6.1,11.4,21.7,3.0,96.7,1.0,1.2,0.2,0.9,3.9,90.1,2020,Guys Mills,Crawford
60263,850,47.5,PA,16440,6.9,15.8,3.0,6.1,94.0,0.9,0.7,0.2,4.2,6.0,82.3,2020,Venango,Crawford
43289,16571,36.2,PA,16504,20.7,16.7,27.8,10.3,79.4,11.9,3.0,3.2,2.5,6.7,66.8,2020,Erie South East,Erie
46641,3927,46.8,PA,16134,14.4,10.3,15.6,5.7,98.1,0.2,0.6,0.1,1.0,4.6,86.7,2020,Jamestown,Crawford
58203,7278,39.6,PA,16403,9.6,14.8,10.0,5.2,92.4,3.1,2.7,0.4,1.4,4.8,79.4,2020,Cambridge Springs,Crawford
55445,3294,42.0,PA,16406,12.3,11.0,21.7,6.5,97.6,0.9,0.7,0.0,0.8,8.2,81.5,2020,Conneautville,Crawford
96366,9492,41.0,PA,16415,3.3,23.1,42.5,5.5,92.8,0.7,2.7,1.4,2.4,4.9,93.4,2020,Fairview,Erie
59028,4018,42.1,PA,16423,9.2,16.1,12.9,2.8,90.6,0.6,5.5,0.0,3.3,5.3,82.3,2020,Lowville/Wattsburg,Erie
51550,1806,42.7,PA,16435,15.7,8.7,12.9,11.1,94.5,0.7,1.7,0.5,2.6,5.4,78.3,2020,Springboro,Crawford
73938,456,45.8,PA,16110,3.9,9.4,0.0,12.6,100.0,0.0,0.0,0.0,0.0,0.0,94.6,2021,Adamsville,Crawford
50556,1206,34.4,PA,16111,15.8,3.2,13.7,23.3,95.6,0.5,0.0,0.2,3.7,5.1,87.4,2021,Atlantic,Crawford
53393,909,47.3,PA,16131,10.6,5.4,24.7,7.4,97.7,0.0,1.7,0.0,0.6,4.5,77.5,2021,Hartstown,Crawford
49714,3804,51.0,PA,16134,11.5,8.4,13.0,5.4,97.8,0.1,1.0,0.2,0.9,5.3,85.4,2021,Jamestown,Crawford
59796,5354,43.6,PA,16314,6.5,11.5,3.5,3.4,95.8,0.4,0.7,0.5,2.6,5.3,85.0,2021,Cochranton,Crawford
61384,4685,51.0,PA,16316,8.3,14.0,17.9,3.2,96.4,0.0,1.9,0.3,1.4,4.9,85.2,2021,Conneaut Lake,Crawford
62266,2605,42.6,PA,16327,6.3,13.3,19.7,2.7,95.6,1.3,1.3,0.3,1.5,3.4,88.0,2021,Guys Mills,Crawford
51875,235,49.8,PA,16328,17.0,7.0,7.1,2.2,98.7,0.0,0.0,0.0,1.3,19.3,69.9,2021,Hydetown,Crawford
53672,27493,43.3,PA,16335,13.4,14.9,18.8,12.9,91.4,2.9,1.6,1.0,3.1,6.4,61.0,2021,Meadville,Crawford
42120,10572,44.1,PA,16354,20.4,9.7,16.4,11.5,96.4,1.1,0.9,0.8,0.8,7.0,68.4,2021,Titusville,Crawford
58875,1333,43.3,PA,16360,19.0,17.3,12.3,3.0,96.9,1.5,0.4,0.0,1.2,6.4,78.3,2021,Townville,Crawford
62026,4108,47.0,PA,16401,9.4,12.9,23.9,6.6,95.5,0.9,1.7,0.4,1.5,4.9,79.8,2021,Albion,Erie
61515,6877,39.9,PA,16403,10.2,15.3,12.6,6.6,92.0,3.3,2.8,0.6,1.3,6.2,81.1,2021,Cambridge Springs,Crawford
53534,3256,44.3,PA,16404,17.9,8.4,17.4,6.7,93.0,0.6,0.9,0.3,5.2,9.4,82.0,2021,Centerville,Crawford
57976,3408,41.9,PA,16406,13.6,11.0,26.3,6.8,97.6,0.9,0.6,0.0,0.9,7.9,81.9,2021,Conneautville,Crawford
48386,10915,42.8,PA,16407,19.3,14.3,25.9,13.0,90.7,2.0,2.5,0.4,4.4,7.7,72.7,2021,Corry,Erie
86300,1952,47.7,PA,16410,7.3,17.4,10.3,1.1,95.5,1.6,1.7,0.3,0.9,2.8,94.1,2021,Cranesville,Erie
67281,1406,43.6,PA,16411,6.5,8.8,0.0,4.0,96.2,0.0,1.9,0.0,1.9,11.8,84.3,2021,East Springfield,Erie
60882,9635,39.1,PA,16412,16.5,30.8,36.5,5.7,95.0,0.8,2.2,0.5,1.5,5.1,68.5,2021,Edinboro,Erie
93207,9784,39.8,PA,16415,5.2,24.0,50.2,5.1,91.2,0.6,3.0,1.4,3.8,4.8,91.5,2021,Fairview,Erie
71888,8694,45.0,PA,16417,11.6,20.2,18.9,4.2,93.5,0.0,4.6,0.5,1.4,3.5,71.6,2021,Girard,Erie
70645,2422,48.3,PA,16421,14.6,18.2,0.0,2.6,97.3,0.2,0.2,0.0,2.3,2.1,61.0,2021,Lake City,Erie
72788,281,44.3,PA,16422,3.6,40.2,,0.0,100.0,0.0,0.0,0.0,0.0,9.5,100.0,2021,Harmonsburg,Crawford
62955,3851,39.1,PA,16423,9.3,14.7,15.1,5.9,88.8,0.7,5.7,0.2,4.6,4.3,85.1,2021,Lowville/Wattsburg,Erie
51399,4544,48.4,PA,16424,12.8,10.8,23.5,6.8,96.7,0.0,2.0,0.0,1.3,5.5,84.5,2021,Linesville,Crawford
71917,3476,50.9,PA,16426,12.5,12.8,5.0,4.6,95.3,0.4,0.0,0.0,4.3,6.3,82.5,2021,McKean,Erie
47875,178,45.5,PA,16427,19.1,6.1,17.4,2.6,92.1,1.1,0.6,1.7,4.5,7.1,70.1,2021,Mill Village,Erie
66250,12614,40.9,PA,16428,9.4,14.2,14.5,6.6,90.6,1.4,4.4,0.4,3.2,6.0,73.8,2021,North East,Erie
95875,178,55.7,PA,16430,7.9,15.9,0.0,0.0,97.8,0.0,0.0,0.0,2.2,0.0,81.7,2021,Platea,Erie
63058,5039,44.6,PA,16433,6.7,15.3,2.7,6.9,95.4,0.6,1.3,0.8,1.9,3.3,83.9,2021,Saegertown,Crawford
51071,3232,26.9,PA,16434,26.0,7.0,12.5,25.4,97.9,1.1,0.3,0.1,0.6,7.6,85.7,2021,Spartansburg,Crawford
55000,1689,45.1,PA,16435,13.1,9.9,8.5,9.1,94.9,0.8,2.0,0.8,1.5,7.0,80.4,2021,Springboro,Crawford
54641,7246,47.2,PA,16438,12.2,11.6,15.2,10.5,94.4,0.0,3.3,0.5,1.8,8.3,75.7,2021,Union City,Erie
65729,811,46.8,PA,16440,6.8,17.7,3.8,5.9,90.5,1.2,1.0,0.2,7.1,6.6,84.4,2021,Venango,Crawford
71412,9407,46.9,PA,16441,7.2,12.7,24.0,4.6,95.6,0.2,2.8,0.2,1.2,4.8,85.2,2021,Waterford,Erie
67050,3231,36.9,PA,16442,5.8,12.3,4.7,3.4,97.2,0.4,0.4,0.3,1.7,6.9,84.6,2021,Wattsburg,Erie
54034,1033,40.9,PA,16443,14.2,3.2,100.0,3.0,94.4,1.3,1.0,0.0,3.3,6.1,92.0,2021,West Springfield,Erie
13395,1553,53.9,PA,16501,64.0,14.9,24.2,67.3,71.4,17.6,7.6,0.3,3.1,20.7,2.1,2021,Erie Downtown,Erie
33245,15548,35.3,PA,16502,31.8,13.1,30.5,22.3,66.8,9.7,13.2,2.4,7.9,9.3,35.9,2021,Erie West,Erie
27060,15876,30.4,PA,16503,37.2,7.0,31.7,30.9,45.4,35.0,13.8,2.7,3.1,12.6,36.7,2021,Erie East,Erie
43758,15922,37.0,PA,16504,23.1,17.1,26.7,10.8,77.2,12.7,2.6,2.6,4.9,7.8,67.4,2021,Erie South East,Erie
65767,16081,49.0,PA,16505,10.2,25.8,29.6,7.4,92.9,1.5,1.4,1.6,2.6,6.1,75.5,2021,Erie Frontier/West,Erie
77137,24635,44.7,PA,16506,6.4,23.0,29.1,7.0,91.8,1.5,1.6,3.1,2.0,2.6,72.3,2021,Erie Millcreek/West,Erie
33401,9111,30.8,PA,16507,28.1,15.0,32.3,19.1,64.0,18.5,6.1,2.2,9.2,5.2,31.5,2021,Erie Downtown,Erie
50625,15438,37.5,PA,16508,12.8,19.9,24.0,9.0,83.0,6.6,2.6,1.5,6.3,5.3,64.8,2021,Erie South Central,Erie
64151,27969,42.0,PA,16509,12.1,24.2,16.6,6.1,87.4,3.5,3.8,1.7,3.6,3.4,68.7,2021,Erie Millcreek/South,Erie
59060,25483,39.8,PA,16510,16.0,16.6,18.4,7.1,78.0,8.4,6.8,3.8,3.0,7.8,80.1,2021,Erie Harborcreek,Erie
57177,11555,37.1,PA,16511,15.0,19.8,19.0,12.0,81.8,9.4,4.8,2.1,1.9,2.6,65.6,2021,Erie Lawrence Park,Erie
,1556,19.5,PA,16563,,0.0,,,78.5,5.3,0.5,12.9,2.8,7.0,,2021,Erie Penn State Behrend,Erie
75179,397,49.2,PA,16110,3.3,5.4,0.0,14.4,100.0,0.0,0.0,0.0,0.0,0.0,96.7,2022,Adamsville,Crawford
57039,1147,34.6,PA,16111,15.5,3.4,0.0,26.2,96.5,0.5,0.0,0.3,2.7,2.3,87.7,2022,Atlantic,Crawford
55536,861,47.4,PA,16131,12.8,10.4,29.5,7.3,97.1,0.0,1.9,0.0,1.0,6.4,79.5,2022,Hartstown,Crawford
55964,3890,51.6,PA,16134,13.2,8.2,12.0,6.2,97.0,0.1,1.0,0.2,1.7,5.8,85.2,2022,Jamestown,Crawford
64654,5301,44.6,PA,16314,7.7,11.6,6.0,3.6,95.0,0.2,0.6,0.4,3.8,6.7,86.7,2022,Cochranton,Crawford
64911,4607,49.5,PA,16316,10.1,14.3,18.0,4.5,96.0,0.0,2.3,0.2,1.5,3.5,81.1,2022,Conneaut Lake,Crawford
